LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINA;PLC1_AI_POT_ATTIVA;PLC1_AI_POS_GETTO2;PLC1_AI_LT_BACINO;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];;;;;;;;;;;;;;;
01/08/2023;31/07/2023 22:00;28,9826;24,6319;30,8116;70,3596;0;41,0367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 00:15;31/07/2023 22:15;38,6609;37,0515;30,1505;100,198;0;40,4813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 00:30;31/07/2023 22:30;39,2167;37,7278;30,162;102,076;0;40,5409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 00:45;31/07/2023 22:45;31,3286;28,1442;30,6641;79,2324;0;40,7603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 01:00;31/07/2023 23:00;28,4963;26,9299;30,8898;76,2624;0;41,6841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 01:15;31/07/2023 23:15;38,4443;36,9961;30,2705;100,579;0;40,7603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 01:30;31/07/2023 23:30;41,3665;40,5638;30,0231;107,383;0;40,4813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 01:45;31/07/2023 23:45;39,7276;37,9968;30,2199;103,098;0;40,568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 02:00;01/08/2023;31,4921;28,5792;30,7017;81,2352;0;40,6682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 02:15;01/08/2023 00:15;30,0657;27,8712;30,8695;79,3392;0;41,3265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 02:30;01/08/2023 00:30;39,6009;38,8076;30,162;104,087;0;40,3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 02:45;01/08/2023 00:45;44,2193;44,7485;29,307;112,054;0;39,1187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 03:00;01/08/2023 01:00;44,8406;45,9628;29,2477;113,773;0,003979;39,0943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 03:15;01/08/2023 01:15;43,0668;42,316;29,7121;109,358;0;39,7444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 03:30;01/08/2023 01:30;36,7113;34,2195;30,6033;95,3856;0;41,2398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 03:45;01/08/2023 01:45;40,0914;38,4358;30,5339;106,118;0;41,4078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 04:00;01/08/2023 02:00;46,7411;46,9279;30,0376;120,827;0;40,6682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 04:15;01/08/2023 02:15;47,9468;49,4711;29,8394;124,094;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 04:30;01/08/2023 02:30;47,7015;48,7987;29,8973;122,856;0;40,5761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 04:45;01/08/2023 02:45;43,4837;41,517;29,8365;108,832;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 05:00;01/08/2023 03:00;34,2673;30,7072;30,5946;86,34;0;41,0475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 05:15;01/08/2023 03:15;32,9103;30,9762;30,6366;87,0852;0;40,8524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 05:30;01/08/2023 03:30;40,6349;39,0766;30,0883;104,728;0;40,205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 05:45;01/08/2023 03:45;43,3651;43,1268;29,3113;109,216;0;39,0943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 06:00;01/08/2023 04:00;42,9319;42,4505;29,1464;106,22;0;38,2626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 06:15;01/08/2023 04:15;37,7944;36,5136;29,702;96,744;0;39,5413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
