LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_LINEA;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_BACINO;PLC1_AI_LT_BACINO2;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali];;;;;;;;;;;;;;;
01/01/2023;31/12/2022 23:00:00;0,838903;0,2;33,1597;0;43,6265;21,5816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:01:00;31/12/2022 23:01:00;0,84299;0,2;33,1771;0;43,6265;21,6277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:02:00;31/12/2022 23:02:00;0,965604;6,00242;32,9861;0;43,6726;21,6737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:03:00;31/12/2022 23:03:00;2,30617;6,4019;33,112;0;43,5344;21,6805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:04:00;31/12/2022 23:04:00;3,53639;7,35513;33,0324;0;43,361;21,7211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:05:00;31/12/2022 23:05:00;7,64392;13,6994;32,3134;26,0952;42,6079;21,6764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:06:00;31/12/2022 23:06:00;17,8494;19,0984;32,2266;49,1748;41,592;21,6277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:07:00;31/12/2022 23:07:00;21,8466;21,1235;32,0428;56,7252;39,0943;21,4895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:08:00;31/12/2022 23:08:00;24,119;23,1803;31,9372;63,1404;36,0439;21,3974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:09:00;31/12/2022 23:09:00;25,6026;23,9595;31,8258;65,5044;32,6224;21,2579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:10:00;31/12/2022 23:10:00;22,6436;18,422;32,2483;47,5464;26,7979;21,1224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:11:00;31/12/2022 23:11:00;16,5497;14,6447;32,3466;31,7232;25,6899;21,1157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:12:00;31/12/2022 23:12:00;14,8127;14,2373;32,3857;30,3024;26,5676;21,0737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:13:00;31/12/2022 23:13:00;14,5879;14,2373;32,4045;30,7824;26,89;21,0737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:14:00;31/12/2022 23:14:00;14,4285;14,2373;32,3597;30,3132;26,2425;21,0737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:15:00;31/12/2022 23:15:00;14,4939;14,2373;32,3712;30,6684;25,2267;21,052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:16:00;31/12/2022 23:16:00;14,5348;14,2373;32,3611;30,6228;24,7661;21,0276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:17:00;31/12/2022 23:17:00;14,3427;14,2373;32,3611;30,5616;23,8613;21,0276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:18:00;31/12/2022 23:18:00;14,4775;14,2373;32,3611;30,4512;24,7634;21,0276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:19:00;31/12/2022 23:19:00;14,6369;14,2373;32,3423;30,5748;23,4685;21,0236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:20:00;31/12/2022 23:20:00;14,3835;14,2373;32,3307;30,3444;22,2738;21,0276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:21:00;31/12/2022 23:21:00;13,5988;12,6196;32,5911;23,9832;22,0815;21,0276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:22:00;31/12/2022 23:22:00;6,92459;6,00242;33,0671;0;25,9608;21,1197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:23:00;31/12/2022 23:23:00;1,69311;0,2;33,0396;0;35,3043;21,2118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:24:00;31/12/2022 23:24:00;0,986038;0,2;33,1236;0;39,9287;21,2633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:25:00;31/12/2022 23:25:00;0,887949;0,2;33,193;0;43,9949;21,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:26:00;31/12/2022 23:26:00;0,84299;0,2;33,1771;0;43,9028;21,3974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:27:00;31/12/2022 23:27:00;0,838903;0,2;33,1756;0;43,8107;21,4435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:28:00;31/12/2022 23:28:00;0,863426;0,2;33,1713;0;43,9949;21,4895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:29:00;31/12/2022 23:29:00;0,802119;0,2;33,1916;0;43,9949;21,5356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:30:00;31/12/2022 23:30:00;0,781684;0,2;33,1409;0;43,8107;21,5383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:31:00;31/12/2022 23:31:00;1,81572;6,00242;33,0946;0;43,8107;21,5816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:32:00;31/12/2022 23:32:00;3,64674;7,75857;32,908;0;43,3962;21,5816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:33:00;31/12/2022 23:33:00;5,19983;10,0922;32,7402;11,832;43,3475;21,6196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2023 00:34:00;31/12/2022 23:34:00;16,987;21,5981;31,8793;57,9132;41,9604;21,5356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
