,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2024-02-23 00:00:00.003,0.901978,-0.5232,9.194322551600001,0.07267341560491569,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-643.1067199597287
1,2024-02-23 00:15:00.000,1.262817,-0.5232,9.1958011746,0.10211156917435026,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-459.27069559833444
2,2024-02-23 00:30:00.003,0.901978,-0.5232,9.1987584206,0.072708477432429,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-642.7965979810525
3,2024-02-23 00:45:00.013,1.262817,-0.5232,9.2342963596,0.10253902553963838,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-457.356125207299
4,2024-02-23 01:00:00.013,0.541138,-0.5232,9.1958011746,0.042404312490507155,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1071.7688316167078
5,2024-02-23 01:15:00.017,0.901978,-0.5232,9.246135541000001,0.07308295387065165,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-639.5029136433942
6,2024-02-23 01:30:00.010,1.262817,-0.5232,9.2964801048,0.10322952326560582,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-454.2968902673064
7,2024-02-23 01:45:00.007,0.901978,-0.5232,9.2727915446,0.07329364724334084,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-637.6645684281157
8,2024-02-23 02:00:00.007,0.541138,-0.5232,9.2491029844,0.04265010147138593,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1065.5923171472768
9,2024-02-23 02:15:00.017,0.901978,-0.5232,9.246135541000001,0.07308295387065165,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-639.5029136433942
10,2024-02-23 02:30:00.000,0.901978,-0.5232,9.246135541000001,0.07308295387065165,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-639.5029136433942
11,2024-02-23 02:45:00.007,0.541138,-0.5232,9.2520602304,0.04266373812806372,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1065.25172072453
12,2024-02-23 03:00:00.017,0.901978,-0.5232,9.2964801048,0.07348088546245217,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-636.0397216746852
13,2024-02-23 03:15:00.003,0.721558,-0.5232,9.2964801048,0.0581468752891657,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-795.0765372661507
14,2024-02-23 03:30:00.017,1.262817,-0.5232,9.3379325358,0.10368981733842603,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-452.2802007672354
15,2024-02-23 03:45:00.013,0.901978,-0.5232,9.246135541000001,0.07308295387065165,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-639.5029136433942
16,2024-02-23 04:00:00.003,0.901978,-0.5232,9.343857225199999,0.07385536190067479,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-632.8147440507021
17,2024-02-23 04:15:00.017,0.360657,-0.5232,9.2964801048,0.013970329708044923,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1590.6909780669419
18,2024-02-23 04:30:00.007,1.082397,-0.5232,9.2964801048,0.08859229122549238,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-530.0216427768083
19,2024-02-23 04:45:00.007,0.901978,-0.5232,9.2964801048,0.07348088546245217,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-636.0397216746852
20,2024-02-23 05:00:00.007,0.721558,-0.5232,9.246135541000001,0.05783198416480838,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-799.4056736149294
21,2024-02-23 05:15:00.003,0.721558,-0.5232,9.284630726,0.05807276074865461,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-796.0912424647836
22,2024-02-23 05:30:00.007,0.721558,-0.5232,9.3468144712,0.05846170263164652,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-790.7948995096606
23,2024-02-23 05:45:00.007,0.180237,-0.5232,9.2964801048,0.006981620530279166,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-3182.9970321115484
24,2024-02-23 06:00:00.007,0.721558,-0.5232,9.2772274136,0.05802645510630431,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-796.7265305637075
25,2024-02-23 06:15:00.000,0.360657,-0.5232,9.3482930942,0.014048191924380296,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1581.8745605718175
26,2024-02-23 06:30:00.007,0.360657,-0.5232,9.3364539128,0.014030400538203288,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1583.880472029162
27,2024-02-23 06:45:00.003,0.901978,-0.5232,9.3482930942,0.07389042372818815,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-632.5144664195246
28,2024-02-23 07:00:00.007,0.721558,-0.5232,9.3512605376,0.0584895115298073,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-790.4189152647705
29,2024-02-23 07:15:00.010,0.721558,-0.5232,9.3453358482,0.058452454259551756,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-790.9200194139306
30,2024-02-23 07:30:00.007,0.721558,-0.5232,9.3482930942,0.05847095100374128,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-790.6698191859142
31,2024-02-23 07:45:00.000,0.901978,-0.5232,9.3482930942,0.07389042372818815,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-632.5144664195246
32,2024-02-23 08:00:00.007,1.262817,-0.5232,9.3482930942,0.10380486254826252,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-451.77894611186724
33,2024-02-23 08:15:00.003,0.901978,-0.5232,9.3482930942,0.07389042372818815,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-632.5144664195246
34,2024-02-23 08:30:00.003,0.360657,-0.5232,9.398637658,0.014123847457158833,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1573.4011213739018
35,2024-02-23 08:45:00.010,0.360657,-0.5232,9.3497819146,0.014050429256319868,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1581.622669443497
36,2024-02-23 09:00:00.000,1.082397,-0.5232,9.398637658,0.0895658179368877,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-524.2606254741534
37,2024-02-23 09:15:00.003,0.541138,-0.5232,9.3482930942,0.04310749374554086,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1054.2858446314065
38,2024-02-23 09:30:00.010,0.721558,-0.5232,9.3482930942,0.05847095100374128,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-790.6698191859142
39,2024-02-23 09:45:00.007,0.541138,-0.5232,9.3482930942,0.04310749374554086,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-1054.2858446314065
40,2024-02-23 10:00:00.003,1.082397,-0.5232,9.3482930942,0.08908605137927553,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-527.0839935736609
41,2024-02-23 10:15:00.017,0.901978,-0.5232,9.3482930942,0.07389042372818815,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-632.5144664195246
42,2024-02-23 10:30:00.007,0.721558,-0.5232,9.398637658,0.0587858421280986,10.50000111111111,2024-02-23,2024-02-23 10:30:00.007,-786.4345322639999
