t,Q,P,Bar,Eta
2025-06-25 00:02:04,0.03082198,66.665,27.15273,0.7962792257736618
2025-06-25 00:17:04,0.03085604,66.481,27.12182,0.7941088987241351
2025-06-25 00:32:04,0.03079927,66.6465,27.17455,0.7960055584008747
2025-06-25 00:47:04,0.0308901,66.7485,27.16909,0.7950393810942462
2025-06-25 01:02:04,0.03089237,66.763,27.17091,0.7951003951398717
2025-06-25 01:17:04,0.0307743,66.606,27.17273,0.79622064464026
2025-06-25 01:32:04,0.03085604,66.64,27.16909,0.7946232072078863
2025-06-25 01:47:04,0.030831070000000002,66.848,27.24909,0.7954069019896539
2025-06-25 02:02:04,0.03085831,66.765,27.2,0.7951505234434616
2025-06-25 02:17:04,0.03082198,66.488,27.16182,0.7938992755584395
2025-06-25 02:32:04,0.03081063,66.515,27.18182,0.7939296512638048
2025-06-25 02:47:04,0.03084015,66.634,27.18727,0.794429458543222
2025-06-25 03:02:04,0.03089692,66.588,27.17818,0.7926873896691281
2025-06-25 03:17:04,0.03090145,66.717,27.19637,0.7935754929851415
2025-06-25 03:32:04,0.030871939999999997,66.4855,27.19637,0.7915778152123443
2025-06-25 03:47:04,0.03094914,66.796,27.22546,0.792443270447492
2025-06-25 04:02:04,0.030828790000000002,66.7125,27.21818,0.79475485942727
2025-06-25 04:17:04,0.03093552,67.2325,27.27273,0.7965898428046609
2025-06-25 04:32:04,0.03091962,66.7865,27.22728,0.7930340168557448
2025-06-25 04:47:04,0.03084469,66.624,27.22728,0.7930262690988931
2025-06-25 05:02:04,0.03092189,66.892,27.22,0.7944408489225895
2025-06-25 05:17:04,0.03097184,66.808,27.22364,0.7920576775575852
2025-06-25 05:32:04,0.03091735,66.753,27.21818,0.7929594546439787
2025-06-25 05:47:04,0.03087875,66.566,27.21637,0.7917791957216908
2025-06-25 06:02:04,0.03089237,66.617,27.13273,0.7944780218408967
2025-06-25 06:17:04,0.03086967,66.8155,27.26546,0.7935493572266097
2025-06-25 06:32:04,0.03096049,67.0345,27.22546,0.7949812030440664
2025-06-25 06:47:04,0.03092643,67.2125,27.23091,0.7978103060069058
2025-06-25 07:02:04,0.03085604,67.2875,27.27818,0.7991353654330668
2025-06-25 07:17:04,0.030871939999999997,67.2225,27.26546,0.7983244797730018
2025-06-25 07:32:04,0.03094006,67.3325,27.27636,0.7975514555167148
2025-06-25 07:47:04,0.03093097,67.2285,27.26546,0.7968720419591502
2025-06-25 08:02:04,0.03092416,67.096,27.23818,0.7962733307748924
2025-06-25 08:17:04,0.030894639999999998,67.1465,27.23818,0.7976340644570132
2025-06-25 08:32:04,0.03093324,67.1465,27.24546,0.7964258756587791
2025-06-25 08:47:04,0.03085604,67.4385,27.29818,0.8003419064694702
2025-06-25 09:02:05,0.03092643,67.5025,27.27455,0.7999705717728932
2025-06-25 09:17:04,0.030831070000000002,67.0895,27.22728,0.7989198979025244
2025-06-25 09:32:05,0.03097866,67.409,27.29091,0.7970375394789327
2025-06-25 09:47:05,0.03085831,67.5875,27.26,0.8031745358032657
2025-06-25 10:02:05,0.0313465,70.859,28.18364,0.8017711353105375
2025-06-25 10:17:05,0.03136694,70.9325,28.19091,0.8018729361495351
2025-06-25 10:32:05,0.03143733,70.789,28.13091,0.8001619205492377
2025-06-25 10:47:05,0.03133515,71.127,28.21273,0.8042649421554153
2025-06-25 11:02:05,0.03141008,70.9305,28.17273,0.8012657570572214
2025-06-25 11:17:05,0.030669850000000002,66.095,26.93273,0.7998676181180144
2025-06-25 11:32:05,0.03070618,65.903,26.91455,0.7971385417305276
2025-06-25 11:47:05,0.03065395,65.8855,27.00182,0.79570465924253
2025-06-25 12:02:05,0.03070391,66.0145,26.94364,0.7976840792852694
2025-06-25 12:17:05,0.030831070000000002,66.324,26.99091,0.796720741876576
2025-06-25 12:32:05,0.03081744,66.391,27.02182,0.7969656290122387
2025-06-25 12:47:05,0.0307743,66.395,27.02,0.7981846745231721
2025-06-25 13:02:05,0.03076067,66.2255,27.04364,0.795803503335798
