,t,Q,P,h,Target,dt,tIn,tOff
0,2024-05-01 00:08:09,27.09809,50.357,271.584600902,54.58152652132316,9.750277777777777,2024-05-28,2024-05-28 09:53:56
1,2024-05-01 00:23:09,27.05268,50.735,273.160507098,54.80624668232871,9.750277777777777,2024-05-28,2024-05-28 09:53:56
2,2024-05-01 00:38:09,27.05041,50.8215,272.71559453599997,54.71238920801474,9.750277777777777,2024-05-28,2024-05-28 09:53:56
3,2024-05-01 00:53:09,27.06176,50.614,272.21500417,54.634874894080944,9.750277777777777,2024-05-28,2024-05-28 09:53:56
4,2024-05-01 01:08:09,27.11172,50.389,272.103750536,54.71336856245573,9.750277777777777,2024-05-28,2024-05-28 09:53:56
5,2024-05-01 01:23:09,27.0436,50.2905,271.973937634,54.54986098753654,9.750277777777777,2024-05-28,2024-05-28 09:53:56
6,2024-05-01 01:38:09,27.06176,50.189,272.45596873200003,54.68323765328637,9.750277777777777,2024-05-28,2024-05-28 09:53:56
7,2024-05-01 01:53:09,27.07539,50.8195,273.66109746399997,54.95277658179153,9.750277777777777,2024-05-28,2024-05-28 09:53:56
8,2024-05-01 02:08:09,27.04133,50.288,271.788548902,54.50810182266641,9.750277777777777,2024-05-28,2024-05-28 09:53:56
9,2024-05-01 02:23:09,26.97094,51.144,273.66109746399997,54.74078268201878,9.750277777777777,2024-05-28,2024-05-28 09:53:56
10,2024-05-01 02:38:09,27.0436,50.804,274.106112,54.97751157890684,9.750277777777777,2024-05-28,2024-05-28 09:53:56
11,2024-05-01 02:53:09,27.02316,50.4865,272.882424,54.6907088512194,9.750277777777777,2024-05-28,2024-05-28 09:53:56
12,2024-05-01 03:08:09,27.02316,50.27,272.140767098,54.542067025556136,9.750277777777777,2024-05-28,2024-05-28 09:53:56
13,2024-05-01 03:23:09,27.07993,50.388,272.029513464,54.634304348565465,9.750277777777777,2024-05-28,2024-05-28 09:53:56
14,2024-05-01 03:38:09,27.07766,50.854,273.790910366,54.9834532097119,9.750277777777777,2024-05-28,2024-05-28 09:53:56
15,2024-05-01 03:53:09,27.03906,50.3665,272.530205804,54.65225539287077,9.750277777777777,2024-05-28,2024-05-28 09:53:56
