t,Q,P,Bar,Eta
2025-06-01 00:01:53,0.06168671,134.0926,27.19353,0.7990779629225697
2025-06-01 00:16:54,0.06157408,133.8646,27.20443,0.798858240952299
2025-06-01 00:31:54,0.060871510000000004,132.4456,27.23168,0.7987126491967721
2025-06-01 00:46:53,0.06208894,134.8227,27.18263,0.7985439771744923
2025-06-01 01:01:53,0.06159017,133.933,27.2008,0.7991642618600744
2025-06-01 01:16:54,0.06220157,135.1811,27.24804,0.7972984113642799
2025-06-01 01:31:53,0.06204067,135.3742,27.16265,0.8030245519204602
2025-06-01 01:46:54,0.06132738,133.4547,27.2117,0.7994021742115007
2025-06-01 02:01:53,0.06199241,134.9146,27.18808,0.8001721436432839
2025-06-01 02:16:54,0.06089297,132.2152,27.2117,0.7976274516559212
2025-06-01 02:31:53,0.061509720000000004,134.4033,27.19535,0.8031803355454218
2025-06-01 02:46:54,0.06132738,133.5134,27.2117,0.7997537909595523
2025-06-01 03:01:53,0.06163307,133.9828,27.19716,0.7990118676875679
2025-06-01 03:16:54,0.06155799,133.7785,27.2226,0.7980200941013587
2025-06-01 03:31:54,0.061198659999999995,133.3881,27.12268,0.8033117341888016
2025-06-01 03:46:54,0.060694530000000003,132.2053,27.23168,0.7995882725012861
2025-06-01 04:01:54,0.05990615,130.6705,27.26075,0.7998524524965193
2025-06-01 04:16:54,0.06043173,132.4382,27.29709,0.802552456197277
2025-06-01 04:31:54,0.05939665,129.3186,27.28255,0.7977294415937798
2025-06-01 04:46:54,0.05918213,129.2256,27.28074,0.8000983165190991
2025-06-01 05:01:54,0.059943689999999994,130.8243,27.26075,0.8002923831632159
2025-06-01 05:16:54,0.06028157,132.6582,27.29709,0.8058880784576067
2025-06-01 05:31:54,0.059981229999999996,130.7803,27.25712,0.7996289945440296
2025-06-01 05:46:53,0.05933229,127.8725,27.23168,0.7911396442970593
2025-06-01 06:01:54,0.05947173,129.4703,27.27528,0.7978695705674255
2025-06-01 06:16:53,0.05985788,129.0719,27.22987,0.7916010131696609
2025-06-01 06:31:54,0.06054972,131.4752,27.23168,0.7970742944505588
2025-06-01 06:46:53,0.05901587,129.3046,27.27528,0.8030035795117787
2025-06-01 07:01:54,0.05953073,129.5023,27.28255,0.7970633702877226
2025-06-01 07:16:54,0.05885497,128.7597,27.288,0.8014319361113272
2025-06-01 07:31:54,0.05939129,128.0334,27.24258,0.7910315813776914
2025-06-01 07:46:54,0.05901587,128.8265,27.28619,0.7997146145554908
2025-06-01 08:01:54,0.01330592,23.6842,28.32902,0.6280927758414618
2025-06-01 08:16:54,0.024563130000000002,48.91277,28.36717,0.7017203602155159
2025-06-01 08:31:54,0.01304313,21.76832,28.51796,0.5850138825439297
2025-06-01 08:46:54,0.02083575,42.95205,28.2509,0.7294306504308917
2025-06-01 09:01:54,0.04158034,94.13581,27.80942,0.8137976547623389
2025-06-01 09:16:53,0.07078257,144.883,26.88831,0.7609728002368129
2025-06-01 09:31:53,0.06969386,143.1584,26.8974,0.7634024566580946
2025-06-01 09:46:53,0.06870704000000001,141.5337,26.93555,0.7644944042590165
2025-06-01 10:01:54,0.07051978,144.9669,26.87014,0.7647676546802503
2025-06-01 10:16:54,0.06902347,141.7661,26.92101,0.7626509076873316
2025-06-01 10:31:53,0.06764513999999999,140.6959,26.97552,0.7707553611380314
2025-06-01 10:46:54,0.06777386,140.3439,26.9737,0.767418623286479
2025-06-01 11:01:53,0.06741453,140.5434,27.0173,0.7713589747764867
2025-06-01 11:16:54,0.06727509000000001,141.1884,26.86833,0.7808104066957602
2025-06-01 11:31:53,0.06838525,141.8129,26.95735,0.7689845945182706
2025-06-01 11:46:54,0.0682619,142.9415,26.92646,0.7773958888643074
2025-06-01 12:01:54,0.06692112,140.6841,27.01004,0.7780331937619048
2025-06-01 12:16:54,0.06650816000000001,141.1996,27.08271,0.7836244023743143
2025-06-01 12:31:54,0.06616491999999999,140.436,27.04092,0.7846405227846632
2025-06-01 12:46:54,0.06567151,140.2972,27.05182,0.7894362228153026
2025-06-01 13:01:53,0.06670659999999999,140.3815,27.02094,0.7785421991767568
2025-06-01 13:16:54,0.0670552,140.2044,27.00822,0.7738820188127289
2025-06-01 13:31:54,0.06171352,134.1634,27.20625,0.7987789112027571
2025-06-01 13:46:53,0.06098414,133.8389,27.28619,0.8040148930206588
2025-06-01 14:01:54,0.05940738,130.1203,27.31525,0.8015691871083191
2025-06-01 14:16:53,0.05940738,128.2811,27.27347,0.7914498783569144
2025-06-01 14:31:54,0.05896223,128.2172,27.18808,0.7995311457347695
2025-06-01 14:46:53,0.059203580000000006,129.0452,27.29709,0.798213505966185
