t,Q,P,Bar,Eta
2025-06-24 13:31:53,0.05914995,127.611,27.30072,0.7899528436184353
2025-06-24 13:46:54,0.059648719999999995,129.9055,27.28074,0.7980163716406465
2025-06-24 14:01:54,0.05896223,128.543,27.31707,0.7977778109830038
2025-06-24 14:16:53,0.05818459,126.6353,27.32252,0.7962832679088006
2025-06-24 14:31:54,0.05843665,127.0364,27.31525,0.7955715143398909
2025-06-24 14:46:54,0.058967599999999995,128.4504,27.31889,0.7970774024510436
2025-06-24 15:01:53,0.057889609999999994,126.8331,27.38066,0.79988878686738
2025-06-24 15:16:54,0.058640450000000004,127.5083,27.32797,0.7953812088761915
2025-06-24 15:31:54,0.05778771,124.4688,27.32071,0.7880877446016818
2025-06-24 15:46:54,0.05701542,123.3131,27.31889,0.7913987790215472
2025-06-24 16:01:54,0.05746056,125.3004,27.36068,0.7967044700883517
2025-06-24 16:16:54,0.05748202,125.3938,27.36249,0.7969479610370291
2025-06-24 16:31:53,0.056264589999999996,122.5808,27.39519,0.794976907584389
2025-06-24 16:46:54,0.05711732,124.3932,27.41154,0.7942128705211322
2025-06-24 17:01:53,0.057026150000000005,125.508,27.44606,0.8016021733517281
2025-06-24 17:16:54,0.05694034,125.4651,27.45151,0.8023764624001091
2025-06-24 17:31:54,0.05655419,123.4872,27.39338,0.79680687430153
2025-06-24 17:46:54,0.05660246,124.479,27.37884,0.8029477361562495
2025-06-24 18:01:54,0.05594279,122.2895,27.40064,0.7974911607673338
2025-06-24 18:16:53,0.056168050000000004,122.5379,27.40246,0.795853392140462
2025-06-24 18:31:54,0.055991070000000004,123.0914,27.38429,0.8025073086932051
2025-06-24 18:46:53,0.05549229,122.1912,27.42063,0.8027335073885518
2025-06-24 19:01:54,0.05589989,121.9597,27.36431,0.7970075397412179
2025-06-24 19:16:54,0.055545920000000006,121.9979,27.42063,0.8006898064321637
2025-06-24 19:31:54,0.055240229999999994,120.1531,27.42789,0.7927361087380417
2025-06-24 19:46:53,0.05528313,120.6624,27.42063,0.795689165096499
2025-06-24 20:01:54,0.05505788,120.1267,27.45878,0.7942923170996513
2025-06-24 20:16:54,0.05399062,117.834,27.46241,0.794429196245269
2025-06-24 20:31:53,0.05456447,119.1416,27.4497,0.7951653042974186
2025-06-24 20:46:54,0.05489162,119.6768,27.44061,0.7942398913837259
2025-06-24 21:01:53,0.05568,121.1156,27.45333,0.7920404564383801
2025-06-24 21:16:53,0.05442503,118.9382,27.45696,0.7956311372004429
2025-06-24 21:31:54,0.054113970000000004,117.3722,27.48603,0.7888335434218584
2025-06-24 21:46:54,0.05472,119.1627,27.44606,0.7931508158539569
2025-06-24 22:01:54,0.05450548,118.7055,27.4715,0.7924827854443546
2025-06-24 22:16:53,0.05434458,118.3476,27.46423,0.7926424523263674
2025-06-24 22:31:53,0.05418906,118.5845,27.46423,0.796508508298331
2025-06-24 22:46:54,0.054290950000000004,118.5843,27.46605,0.7949596476470449
2025-06-24 23:01:53,0.05378682,118.3295,27.54053,0.7985211151898725
2025-06-24 23:16:54,0.053802909999999995,118.2355,27.526,0.7980692150641655
2025-06-24 23:31:53,0.054178330000000004,118.9909,27.52964,0.797497151387391
2025-06-24 23:46:54,0.05390481,117.892,27.47332,0.7957693515440545
2025-06-25 00:01:53,0.0539209,118.121,27.47332,0.79707717946579
2025-06-25 00:16:54,0.054290950000000004,118.1848,27.46423,0.7923340019505252
2025-06-25 00:31:53,0.05283218,115.4808,27.51147,0.7942166615769211
2025-06-25 00:46:53,0.05268738,115.666,27.51147,0.7976766057197944
2025-06-25 01:01:53,0.05288581,115.2573,27.50602,0.7920326124195719
2025-06-25 01:16:54,0.05299844,115.4966,27.50783,0.7919382489481466
2025-06-25 01:31:54,0.05289117,115.3369,27.50965,0.7923947195168287
2025-06-25 01:46:54,0.05347039,116.8278,27.48785,0.794572649812786
2025-06-25 02:01:53,0.05240849,114.1019,27.52055,0.7908163828641657
2025-06-25 02:16:54,0.053255870000000004,115.8164,27.49693,0.7906056377531318
2025-06-25 02:31:54,0.05284291000000001,115.3472,27.50783,0.7932417002627236
2025-06-25 02:46:53,0.052944809999999995,115.273,27.50783,0.7912057003825633
2025-06-25 03:01:54,0.05321833,115.9179,27.52237,0.7911247491673937
2025-06-25 03:16:54,0.05207598,113.8478,27.49148,0.7949331497341535
2025-06-25 03:31:54,0.05259084,114.7481,27.50965,0.7928515291578552
