t,Q,P,Bar,Eta
2025-06-24 13:15:00,1.9109,199.2857,1.4582,0.7149285155389405
2025-06-24 13:30:00,1.9091,199.2857,1.4593,0.7150631765301118
2025-06-24 13:45:00,1.9138,199.689,1.4563,0.7162230272139046
2025-06-24 14:00:00,1.9197,199.1882,1.4576,0.7115958719278346
2025-06-24 14:15:00,1.9132,199.9147,1.4591,0.7158810021456803
2025-06-24 14:30:00,1.9132,199.8631,1.4588999999999999,0.7157943405409116
2025-06-24 14:45:00,1.9156,199.561,1.456,0.7152387008429432
2025-06-24 15:00:00,1.9163,199.3883,1.4566,0.7140644347763758
2025-06-24 15:15:00,1.9173,199.5349,1.4544000000000001,0.7152971045031843
2025-06-24 15:30:00,1.922,199.6195,1.4527,0.7146858457882354
2025-06-24 15:45:00,1.9195,199.3222,1.4566999999999999,0.7125887683332472
2025-06-24 16:00:00,1.9207,199.8552,1.4540000000000002,0.7153738275962332
2025-06-24 16:15:00,1.9253,199.4082,1.4537,0.7122153826703703
2025-06-24 16:30:00,1.9255,199.2873,1.4559,0.7106341790968255
2025-06-24 16:45:00,1.9206,199.5631,1.4535,0.7146111998620572
2025-06-24 17:00:00,1.9297,199.3051,1.4522000000000002,0.7109576312337189
2025-06-24 17:15:00,1.924,199.3786,1.4532,0.7128359970279621
2025-06-24 17:30:00,1.9172,198.3955,1.455,0.7109563558796096
2025-06-24 17:45:00,1.9185,198.3458,1.451,0.712254710572449
2025-06-24 18:00:00,1.9221,198.1254,1.4548999999999999,0.708227149634699
2025-06-24 18:15:00,1.9159,198.0813,1.4518,0.7118776950628598
2025-06-24 18:30:00,1.9175,197.9397,1.4506999999999999,0.7113141719853536
2025-06-24 18:45:00,1.9183,197.9651,1.4527999999999999,0.7100808707939098
2025-06-24 19:00:00,1.9198,197.7738,1.451,0.7097197580223036
2025-06-24 19:15:00,1.9165,198.1018,1.4531,0.7110917381178959
2025-06-24 19:30:00,1.916,197.8502,1.4543000000000001,0.7097877867919695
2025-06-24 19:45:00,1.9178,197.7601,1.4499,0.7109496526187111
2025-06-24 20:00:00,1.9137,198.0244,1.4529999999999998,0.711902916917901
2025-06-24 20:15:00,1.9148,197.3485,1.4519000000000002,0.7096026737068276
2025-06-24 20:30:00,1.911,197.6517,1.4525000000000001,0.7118119314755872
2025-06-24 20:45:00,1.912,197.8813,1.4564000000000001,0.7103587496323884
2025-06-24 21:00:00,1.9195,197.7314,1.4508999999999999,0.7097274156082297
2025-06-24 21:15:00,1.9082,197.8331,1.4563000000000001,0.7116488515022623
2025-06-24 21:30:00,1.9138,197.5278,1.458,0.7076454033811358
2025-06-24 21:45:00,1.9125,197.6613,1.4565,0.7093347757753748
2025-06-24 22:00:00,1.9131,197.8049,1.4543,0.7107009686180438
2025-06-24 22:15:00,1.91,197.9864,1.4575,0.7109432999618575
2025-06-24 22:30:00,1.9115,197.6579,1.4566,0.7096449334395618
2025-06-24 22:45:00,1.9105,197.5942,1.4561,0.710031287229706
2025-06-24 23:00:00,1.91,197.8421,1.4556,0.7113524580398746
2025-06-24 23:15:00,1.9078,197.3225,1.458,0.7091331341830651
2025-06-24 23:30:00,1.9128,197.7238,1.4569,0.7092529968652438
2025-06-24 23:45:00,1.9081,197.2797,1.4581,0.7088192357582906
2025-06-25 00:00:00,1.9067,197.1667,1.4561,0.7099071277953599
2025-06-25 00:15:00,1.9058,197.2906,1.4569,0.7102984470483376
2025-06-25 00:30:00,1.9076,197.6944,1.4578000000000002,0.7106416300170247
2025-06-25 00:45:00,1.9096,197.3782,1.46,0.7076939123633743
2025-06-25 01:00:00,1.9029,197.3044,1.4568999999999999,0.7114306939402513
2025-06-25 01:15:00,1.9013,197.195,1.4571,0.7115369044307138
2025-06-25 01:30:00,1.9055,197.2086,1.4576,0.709773980817319
2025-06-25 01:45:00,1.9055,197.1393,1.4590999999999998,0.7087951497781849
2025-06-25 02:00:00,1.9014,197.5007,1.4599,0.7112357506757481
2025-06-25 02:15:00,1.9042,197.0993,1.4604000000000001,0.7085038821829529
2025-06-25 02:30:00,1.9027,197.0289,1.4587999999999999,0.7095865865882134
2025-06-25 02:45:00,1.9033,196.7644,1.4611,0.7072954669747047
2025-06-25 03:00:00,1.9029,197.222,1.4606,0.7093321324737519
2025-06-25 03:15:00,1.9001,197.2907,1.4615,0.7101872539426078
2025-06-25 03:30:00,1.8975,197.1548,1.4586,0.7120834607409482
2025-06-25 03:45:00,1.8957,196.831,1.46,0.7109066398268553
2025-06-25 04:00:00,1.9045,196.7287,1.4619,0.706334820675952
2025-06-25 04:15:00,1.8995,197.4978,1.461,0.7114006962323102
2025-06-25 04:30:00,1.8991,197.2898,1.4624,0.7101206760660081
2025-06-25 04:45:00,1.9011,196.9462,1.4653,0.7067366795214198
2025-06-25 05:00:00,1.9031,197.1447,1.4626,0.7080101197694371
2025-06-25 05:15:00,1.8966,197.0837,1.464,0.7095376112819337
2025-06-25 05:30:00,1.8978,197.2893,1.4653,0.709198939444094
