,t,Q,P,h,Target,dt,tIn,tOff
0,2024-05-01 00:00:00,50.7545,130.3253,304.81150314,129.12488412149963,9.25,2024-05-28,2024-05-28 09:15:00
1,2024-05-01 00:15:00,43.2368,112.5973,310.25997396,112.7347077922941,9.25,2024-05-28,2024-05-28 09:15:00
2,2024-05-01 00:30:00,38.5616,101.3075,311.76816942,101.04476013689302,9.25,2024-05-28,2024-05-28 09:15:00
3,2024-05-01 00:45:00,46.3671,121.6924,308.0532566,119.82519786856707,9.25,2024-05-28,2024-05-28 09:15:00
4,2024-05-01 01:00:00,53.1918,136.001,302.34067312,133.7382981644686,9.25,2024-05-28,2024-05-28 09:15:00
5,2024-05-01 01:15:00,53.8314,137.3534,302.148962,135.08851239649314,9.25,2024-05-28,2024-05-28 09:15:00
6,2024-05-01 01:30:00,53.776,135.9153,300.21961392,134.0877783415687,9.25,2024-05-28,2024-05-28 09:15:00
7,2024-05-01 01:45:00,52.8539,132.0484,297.44082241999996,130.73508143191623,9.25,2024-05-28,2024-05-28 09:15:00
8,2024-05-01 02:00:00,48.9726,123.6705,300.42662114,123.09148656691478,9.25,2024-05-28,2024-05-28 09:15:00
9,2024-05-01 02:15:00,40.6516,104.9773,309.25553006,105.67758452940961,9.25,2024-05-28,2024-05-28 09:15:00
10,2024-05-01 02:30:00,33.2845,86.7891,312.53705338000003,86.97610061298444,9.25,2024-05-28,2024-05-28 09:15:00
11,2024-05-01 02:45:00,42.3838,110.912,307.37410976,109.50332561283663,9.25,2024-05-28,2024-05-28 09:15:00
12,2024-05-01 03:00:00,50.8346,128.8611,299.45990761999997,127.05803522384471,9.25,2024-05-28,2024-05-28 09:15:00
13,2024-05-01 03:15:00,53.3206,133.2875,297.1114464,131.74342236563263,9.25,2024-05-28,2024-05-28 09:15:00
14,2024-05-01 03:30:00,53.3263,133.7829,297.83648154,132.07903102127102,9.25,2024-05-28,2024-05-28 09:15:00
15,2024-05-01 03:45:00,52.8818,134.7636,302.1744555,132.8857792065496,9.25,2024-05-28,2024-05-28 09:15:00
16,2024-05-01 04:00:00,48.6627,126.4754,307.89519690000003,125.35323816783442,9.25,2024-05-28,2024-05-28 09:15:00
17,2024-05-01 04:15:00,42.2666,110.8582,310.93708132,110.46633993243324,9.25,2024-05-28,2024-05-28 09:15:00
18,2024-05-01 04:30:00,44.3682,116.9959,309.53493882,115.33490167367005,9.25,2024-05-28,2024-05-28 09:15:00
19,2024-05-01 04:45:00,51.5121,132.9204,304.08850748,130.50226444054886,9.25,2024-05-28,2024-05-28 09:15:00
20,2024-05-01 05:00:00,53.9892,136.8816,301.24547236,135.07937994963012,9.25,2024-05-28,2024-05-28 09:15:00
21,2024-05-01 05:15:00,53.9364,136.4914,300.69175354000004,134.69922954126915,9.25,2024-05-28,2024-05-28 09:15:00
22,2024-05-01 05:30:00,52.5432,133.5191,301.85833610000003,131.89678885293654,9.25,2024-05-28,2024-05-28 09:15:00
23,2024-05-01 05:45:00,47.6335,122.7491,305.70989407999997,121.95944918840763,9.25,2024-05-28,2024-05-28 09:15:00
24,2024-05-01 06:00:00,37.1179,95.8728,310.9748117,96.93649567051955,9.25,2024-05-28,2024-05-28 09:15:00
25,2024-05-01 06:15:00,31.3075,81.4338,312.89804134,81.52781894397489,9.25,2024-05-28,2024-05-28 09:15:00
26,2024-05-01 06:30:00,41.6486,108.481,306.1922311,107.19010788554537,9.25,2024-05-28,2024-05-28 09:15:00
27,2024-05-01 06:45:00,48.6083,122.1985,297.13897938,120.83882716155769,9.25,2024-05-28,2024-05-28 09:15:00
28,2024-05-01 07:00:00,50.4172,125.3245,295.2249274,124.38379255596628,9.25,2024-05-28,2024-05-28 09:15:00
29,2024-05-01 07:15:00,39.6904,100.7395,304.87574676,101.71527263595627,9.25,2024-05-28,2024-05-28 09:15:00
30,2024-05-01 07:30:00,32.4471,81.8502,310.21204618,83.99136276434687,9.25,2024-05-28,2024-05-28 09:15:00
31,2024-05-01 07:45:00,18.9328,44.9645,316.13673558,23.289578559976,9.25,2024-05-28,2024-05-28 09:15:00
32,2024-05-01 08:00:00,30.5015,79.0871,309.31467498,78.51928076000225,9.25,2024-05-28,2024-05-28 09:15:00
33,2024-05-01 08:15:00,36.2899,92.9027,305.55897256000003,93.04528246179001,9.25,2024-05-28,2024-05-28 09:15:00
34,2024-05-01 08:30:00,38.3209,98.8436,306.25035628,98.60875668765537,9.25,2024-05-28,2024-05-28 09:15:00
35,2024-05-01 08:45:00,40.3084,103.9393,305.76496004,103.60031814653406,9.25,2024-05-28,2024-05-28 09:15:00
