t,Q,P,Bar,Eta
2025-06-25 00:00:00,0.0190609,47.8854,31.2241,0.8042875109018783
2025-06-25 00:15:00,0.024893000000000002,63.5996,30.9754,0.824521072054873
2025-06-25 00:30:00,0.0250094,64.1019,30.9506,0.8278279674153882
2025-06-25 00:45:00,0.0263623,67.8546,30.9465,0.8314305844170174
2025-06-25 01:00:00,0.0320015,82.8552,30.7959,0.840423274845152
2025-06-25 01:15:00,0.037188000000000006,95.7596,30.5681,0.8420785271603295
2025-06-25 01:30:00,0.0372285,95.866,30.6109,0.8409196630768754
2025-06-25 01:45:00,0.0334466,86.0197,30.746,0.8361782404887237
2025-06-25 02:00:00,0.0355889,92.0561,30.718,0.8417567515739308
2025-06-25 02:15:00,0.0413734,105.9267,30.424,0.8412197409383803
2025-06-25 02:30:00,0.0431676,109.7909,30.2655,0.8400441772606863
2025-06-25 02:45:00,0.0416161,106.0853,30.4265,0.8374972123763147
2025-06-25 03:00:00,0.0350831,90.1718,30.7262,0.836190948485521
2025-06-25 03:15:00,0.0345185,88.614,30.7462,0.8346425385465737
2025-06-25 03:30:00,0.0392834,100.5787,30.5671,0.8373060872129707
2025-06-25 03:45:00,0.038648800000000004,98.8055,30.5993,0.8351705121786096
2025-06-25 04:00:00,0.0324949,82.9092,30.7667,0.8289878024084605
2025-06-25 04:15:00,0.032985999999999994,84.4834,30.7566,0.8324246685371173
2025-06-25 04:30:00,0.0366323,93.9886,30.6509,0.836776162368989
2025-06-25 04:45:00,0.033732599999999995,86.068,30.7261,0.8300915491987054
2025-06-25 05:00:00,0.0280032,70.9541,30.8386,0.8213281673615449
2025-06-25 05:15:00,0.0333848,85.518,30.6973,0.8341614503969031
2025-06-25 05:30:00,0.035225700000000006,90.2151,30.6274,0.835893618504509
2025-06-25 05:45:00,0.0248364,61.9255,30.97,0.8047874740455749
2025-06-25 06:00:00,0.0184494,45.1072,31.2413,0.7823049220942115
2025-06-25 06:15:00,0.024607399999999998,62.0407,30.8975,0.8156975482859229
2025-06-25 06:30:00,0.015805,36.9706,31.0197,0.7538170268158175
2025-06-25 06:45:00,0.013777900000000001,31.4961,31.1239,0.7342116622271074
2025-06-25 07:00:00,0.0173506,41.9138,31.0794,0.7769828815364552
2025-06-25 07:15:00,0.021726299999999997,54.5759,31.0478,0.8087715012598269
2025-06-25 07:30:00,0.0205459,50.7943,31.0039,0.797104057251493
2025-06-25 07:45:00,0.0157995,36.9182,30.9535,0.7546211087830839
2025-06-25 08:00:00,0.0142316,32.6251,30.9483,0.7404621473508416
2025-06-25 08:15:00,0.0142397,32.7518,30.9947,0.7418027412715785
2025-06-25 08:30:00,0.0142552,32.7713,31.0157,0.740935332256571
2025-06-25 08:45:00,0.014305199999999999,32.6465,30.9438,0.737242878044953
2025-06-25 09:00:00,0.0143185,32.8105,31.0132,0.7386016651724716
2025-06-25 09:15:00,0.014270099999999999,32.8524,31.0256,0.7417566251057596
2025-06-25 09:30:00,0.0142833,32.7779,31.0092,0.7397816307438791
2025-06-25 09:45:00,0.0143889,33.3464,31.0739,0.7455334515664773
2025-06-25 10:00:00,0.0184,44.9882,30.9553,0.7895639560298806
2025-06-25 10:15:00,0.0176696,42.3649,30.9324,0.7748317125421333
2025-06-25 10:30:00,0.0142974,32.9528,31.0886,0.7410979761448151
2025-06-25 10:45:00,0.0187973,46.2237,30.9611,0.7939522586635077
2025-06-25 11:00:00,0.020215800000000003,49.6853,30.9091,0.7948627811604007
2025-06-25 11:15:00,0.0160642,37.7753,30.992,0.7584740971773358
2025-06-25 11:30:00,0.015526300000000002,36.4516,30.9839,0.7574501880191274
2025-06-25 11:45:00,0.015549899999999998,36.1033,30.8684,0.7518768579407978
2025-06-25 12:00:00,0.0138844,31.3209,30.919,0.7293285493769819
2025-06-25 12:15:00,0.013840400000000001,31.2899,30.9177,0.7309537391199245
2025-06-25 12:30:00,0.0138656,31.4814,30.9936,0.7322930018841532
2025-06-25 12:45:00,0.0139985,32.1078,31.0694,0.7379683199777084
2025-06-25 13:00:00,0.0187468,45.8004,30.9562,0.7889255448386304
2025-06-25 13:15:00,0.0168104,39.8541,30.9712,0.7652061704780742
