,t,Q,P,h,Target,dt,tIn,tOff
0,2023-03-22 00:05:18,64.9314,139.3569,276.58081703199997,150.95109607398592,11.25,2023-03-22,2023-03-22 11:20:18
1,2023-03-22 00:20:18,66.51888,140.4049,276.302835908,154.7353496289207,11.25,2023-03-22,2023-03-22 11:20:18
2,2023-03-22 00:35:18,66.08447,138.7879,276.506681934,153.71986538164708,11.25,2023-03-22,2023-03-22 11:20:18
3,2023-03-22 00:50:18,65.6876,138.3056,276.636392862,152.86837923289255,11.25,2023-03-22,2023-03-22 11:20:18
4,2023-03-22 01:05:18,65.83777,138.4011,276.599274326,153.19729683074314,11.25,2023-03-22,2023-03-22 11:20:18
5,2023-03-22 01:20:18,65.91821,138.7878,276.543698496,153.35365307921575,11.25,2023-03-22,2023-03-22 11:20:18
6,2023-03-22 01:35:18,65.18346,139.2352,277.118016064,151.83140797842043,11.25,2023-03-22,2023-03-22 11:20:18
7,2023-03-22 01:50:18,65.85922,138.4273,276.58081703199997,153.236982547989,11.25,2023-03-22,2023-03-22 11:20:18
8,2023-03-22 02:05:18,65.20492,138.8778,276.858696182,151.73926793009474,11.25,2023-03-22,2023-03-22 11:20:18
9,2023-03-22 02:20:18,65.03867,138.6437,276.84013691399997,151.34223933206886,11.25,2023-03-22,2023-03-22 11:20:18
10,2023-03-22 02:35:18,65.95576,138.4766,276.488122666,153.410173872573,11.25,2023-03-22,2023-03-22 11:20:18
11,2023-03-22 02:50:18,64.379,139.0349,277.1551346,149.84109501167924,11.25,2023-03-22,2023-03-22 11:20:18
12,2023-03-22 03:05:18,64.71687,138.9928,276.93283128,150.6438475045938,11.25,2023-03-22,2023-03-22 11:20:18
13,2023-03-22 03:20:18,64.69542,138.7269,277.006864404,150.63417618414175,11.25,2023-03-22,2023-03-22 11:20:18
14,2023-03-22 03:35:18,64.82413,138.6439,276.914272012,150.88340810239555,11.25,2023-03-22,2023-03-22 11:20:18
15,2023-03-22 03:50:18,65.91285,140.8452,277.43301375,153.83430137128713,11.25,2023-03-22,2023-03-22 11:20:18
16,2023-03-22 04:05:18,64.39509,138.6646,277.006864404,149.798363427311,11.25,2023-03-22,2023-03-22 11:20:18
17,2023-03-22 04:20:18,65.6876,139.2122,275.89524583,152.45882377136073,11.25,2023-03-22,2023-03-22 11:20:18
