,t,Q,P,h,Target,dt,tIn,tOff
0,2023-01-01 00:12:06,66.32581,138.0154,273.616534826,152.6686461981094,17.75,2023-03-01,2023-03-01 17:49:44
1,2023-01-01 00:27:06,65.09229,136.7247,274.005565636,149.91613728552704,17.75,2023-03-01,2023-03-01 17:49:44
2,2023-01-01 00:42:06,66.58324,138.585,273.41279077400003,153.26501152392174,17.75,2023-03-01,2023-03-01 17:49:44
3,2023-01-01 00:57:06,10.31866,13.96501,289.734545266,11.63309836548921,17.75,2023-03-01,2023-03-01 17:49:44
4,2023-01-01 01:12:06,10.31866,13.9911,290.308862834,11.65615772403218,17.75,2023-03-01,2023-03-01 17:49:44
5,2023-01-01 01:27:06,21.3238,46.36691,288.03015183,23.898705195731345,17.75,2023-03-01,2023-03-01 17:49:44
6,2023-01-01 01:42:06,49.69475,106.905,278.859528036,115.84692806882443,17.75,2023-03-01,2023-03-01 17:49:44
7,2023-01-01 01:57:06,59.2143,126.9475,275.654485216,136.39497283754713,17.75,2023-03-01,2023-03-01 17:49:44
8,2023-01-01 02:12:06,34.78526,74.90975,283.917234488,81.84070061721194,17.75,2023-03-01,2023-03-01 17:49:44
9,2023-01-01 02:27:06,68.90012,141.0907,271.763871194,157.84702583346117,17.75,2023-03-01,2023-03-01 17:49:44
10,2023-01-01 02:42:06,67.47889,139.6734,273.02365799,155.10560103350332,17.75,2023-03-01,2023-03-01 17:49:44
11,2023-01-01 02:57:06,66.55106,138.4984,273.579518264,153.2843538482967,17.75,2023-03-01,2023-03-01 17:49:44
12,2023-01-01 03:12:06,66.69587,138.6251,273.301639114,153.461856661497,17.75,2023-03-01,2023-03-01 17:49:44
13,2023-01-01 03:27:06,68.59441,141.1391,272.708762278,157.69303868266329,17.75,2023-03-01,2023-03-01 17:49:44
14,2023-01-01 03:42:06,68.65341,140.0365,272.764338108,157.8608391450347,17.75,2023-03-01,2023-03-01 17:49:44
15,2023-01-01 03:57:06,67.59151,137.4836,273.042217258,155.4827510106982,17.75,2023-03-01,2023-03-01 17:49:44
16,2023-01-01 04:12:06,68.31017,140.3517,272.653186448,156.91201849176298,17.75,2023-03-01,2023-03-01 17:49:44
17,2023-01-01 04:27:06,69.14146,140.8172,272.46789968999997,158.81027384603422,17.75,2023-03-01,2023-03-01 17:49:44
18,2023-01-01 04:42:06,66.55643,138.6772,273.394231506,153.1928993279297,17.75,2023-03-01,2023-03-01 17:49:44
19,2023-01-01 04:57:06,68.1171,139.7056,272.80135467,156.55355650963097,17.75,2023-03-01,2023-03-01 17:49:44
20,2023-01-01 05:12:06,68.59978,140.7554,272.542034788,157.60896665366576,17.75,2023-03-01,2023-03-01 17:49:44
21,2023-01-01 05:27:06,67.49497,139.3498,272.986641428,155.1215279569281,17.75,2023-03-01,2023-03-01 17:49:44
22,2023-01-01 05:42:06,68.29945,141.0048,272.819913938,156.98333077314678,17.75,2023-03-01,2023-03-01 17:49:44
23,2023-01-01 05:57:06,67.8543,139.1406,272.838473206,155.97078234517247,17.75,2023-03-01,2023-03-01 17:49:44
24,2023-01-01 06:12:06,68.17609,139.9737,272.764338108,156.66787201632832,17.75,2023-03-01,2023-03-01 17:49:44
25,2023-01-01 06:27:06,68.24045,141.3682,272.8569305,156.8690031294581,17.75,2023-03-01,2023-03-01 17:49:44
26,2023-01-01 06:42:06,66.17564,137.932,273.468366604,152.2404995192117,17.75,2023-03-01,2023-03-01 17:49:44
27,2023-01-01 06:57:06,68.08492,140.2594,272.80135467,156.4795972035466,17.75,2023-03-01,2023-03-01 17:49:44
28,2023-01-01 07:12:06,67.14637,139.2818,273.28307984599996,154.48792946842514,17.75,2023-03-01,2023-03-01 17:49:44
29,2023-01-01 07:27:06,65.81631,137.5797,273.690669924,151.53692697903298,17.75,2023-03-01,2023-03-01 17:49:44
30,2023-01-01 07:42:06,66.85677,139.5118,273.968549074,154.20745531330354,17.75,2023-03-01,2023-03-01 17:49:44
31,2023-01-01 07:57:06,67.09274,139.4405,273.208944748,154.32266414150118,17.75,2023-03-01,2023-03-01 17:49:44
32,2023-01-01 08:12:06,65.97721,136.8486,273.597975558,151.85593825239008,17.75,2023-03-01,2023-03-01 17:49:44
33,2023-01-01 08:27:06,67.35554,139.597,273.060776526,154.84311984839132,17.75,2023-03-01,2023-03-01 17:49:44
34,2023-01-01 08:42:06,65.59106,137.5155,273.820380852,151.08987889705853,17.75,2023-03-01,2023-03-01 17:49:44
35,2023-01-01 08:57:06,65.94503,137.9107,274.56142591,152.31635743880727,17.75,2023-03-01,2023-03-01 17:49:44
36,2023-01-01 09:12:06,66.37408,138.5849,273.486823898,152.70732708605945,17.75,2023-03-01,2023-03-01 17:49:44
37,2023-01-01 09:27:06,66.03084,136.6203,273.560958996,151.95881321124673,17.75,2023-03-01,2023-03-01 17:49:44
38,2023-01-01 09:42:06,67.09811,139.6502,273.134911624,154.29319477337418,17.75,2023-03-01,2023-03-01 17:49:44
39,2023-01-01 09:57:06,65.12984,136.6199,273.987108342,149.99251556357163,17.75,2023-03-01,2023-03-01 17:49:44
40,2023-01-01 10:12:06,65.08157,137.0234,274.11681927,149.95230767210472,17.75,2023-03-01,2023-03-01 17:49:44
41,2023-01-01 10:27:06,10.27576,14.22665,289.845696926,11.589177849376762,17.75,2023-03-01,2023-03-01 17:49:44
42,2023-01-01 10:42:06,10.28648,14.21737,290.36443866400003,11.622031034015738,17.75,2023-03-01,2023-03-01 17:49:44
43,2023-01-01 10:57:06,52.48895,111.6691,280.02672244,122.49902278078217,17.75,2023-03-01,2023-03-01 17:49:44
44,2023-01-01 11:12:06,56.99397,122.5061,277.080999502,131.61401650931344,17.75,2023-03-01,2023-03-01 17:49:44
45,2023-01-01 11:27:06,32.52738,69.22742,285.140004722,76.66805353919572,17.75,2023-03-01,2023-03-01 17:49:44
46,2023-01-01 11:42:06,36.26548,78.01897,284.065504684,85.46263796360108,17.75,2023-03-01,2023-03-01 17:49:44
47,2023-01-01 11:57:06,65.97185,138.6067,273.190487454,151.617450429529,17.75,2023-03-01,2023-03-01 17:49:44
48,2023-01-01 12:12:06,69.15218,143.4902,272.338188762,158.75928163940486,17.75,2023-03-01,2023-03-01 17:49:44
49,2023-01-01 12:27:06,68.78749,141.2624,272.57905135000004,158.0616980067469,17.75,2023-03-01,2023-03-01 17:49:44
50,2023-01-01 12:42:06,67.38235,137.6037,273.097793088,154.92575228573293,17.75,2023-03-01,2023-03-01 17:49:44
51,2023-01-01 12:57:06,65.70905,138.0069,273.727686486,151.31043109654925,17.75,2023-03-01,2023-03-01 17:49:44
52,2023-01-01 13:12:06,66.47598,139.4289,273.89451594999997,153.16976238252303,17.75,2023-03-01,2023-03-01 17:49:44
53,2023-01-01 13:27:06,67.78458,139.1012,272.91250633,155.85280131454536,17.75,2023-03-01,2023-03-01 17:49:44
54,2023-01-01 13:42:06,67.39844,138.0595,273.07923382,154.9522154658265,17.75,2023-03-01,2023-03-01 17:49:44
55,2023-01-01 13:57:06,68.19755,139.9677,272.69020301,156.67459241075966,17.75,2023-03-01,2023-03-01 17:49:44
56,2023-01-01 14:12:06,66.71732,139.4278,273.505383166,153.62565269902993,17.75,2023-03-01,2023-03-01 17:49:44
57,2023-01-01 14:27:06,68.88403,140.8206,272.57905135000004,158.2835301498527,17.75,2023-03-01,2023-03-01 17:49:44
58,2023-01-01 14:42:06,66.64223,138.9076,273.468366604,153.43197933065952,17.75,2023-03-01,2023-03-01 17:49:44
59,2023-01-01 14:57:06,68.37453,139.9465,272.671745716,157.07054769344091,17.75,2023-03-01,2023-03-01 17:49:44
60,2023-01-01 15:12:06,67.11955,137.5504,273.301639114,154.43671041826397,17.75,2023-03-01,2023-03-01 17:49:44
61,2023-01-01 15:27:06,67.11955,137.4995,273.320198382,154.44719785005174,17.75,2023-03-01,2023-03-01 17:49:44
62,2023-01-01 15:42:06,67.93475,139.5376,272.986641428,156.24050800695127,17.75,2023-03-01,2023-03-01 17:49:44
63,2023-01-01 15:57:06,66.47062,138.3215,273.449807336,152.90873829733576,17.75,2023-03-01,2023-03-01 17:49:44
64,2023-01-01 16:12:06,66.47598,137.633,273.486823898,152.94176915486207,17.75,2023-03-01,2023-03-01 17:49:44
65,2023-01-01 16:27:06,66.30436,136.0474,273.523942434,152.5676259491773,17.75,2023-03-01,2023-03-01 17:49:44
66,2023-01-01 16:42:06,66.72805,136.8937,273.431248068,153.60871222278362,17.75,2023-03-01,2023-03-01 17:49:44
67,2023-01-01 16:57:06,67.85966,140.6757,273.042217258,156.09958439233915,17.75,2023-03-01,2023-03-01 17:49:44
68,2023-01-01 17:12:06,66.65833,137.7759,273.449807336,153.45863137457874,17.75,2023-03-01,2023-03-01 17:49:44
69,2023-01-01 17:27:06,67.43062,138.5755,273.07923382,155.02619881460566,17.75,2023-03-01,2023-03-01 17:49:44
70,2023-01-01 17:42:06,65.73051,137.4152,273.949989806,151.4827721029636,17.75,2023-03-01,2023-03-01 17:49:44
71,2023-01-01 17:57:06,67.52179,139.9858,273.07923382,155.34342921516287,17.75,2023-03-01,2023-03-01 17:49:44
72,2023-01-01 18:12:06,65.6447,137.1385,273.838838146,151.2236321303475,17.75,2023-03-01,2023-03-01 17:49:44
73,2023-01-01 18:27:06,67.37162,139.0454,273.116352356,154.91160864715178,17.75,2023-03-01,2023-03-01 17:49:44
74,2023-01-01 18:42:06,65.45162,136.6268,273.949989806,150.71314676030931,17.75,2023-03-01,2023-03-01 17:49:44
75,2023-01-01 18:57:06,66.27218,137.4637,273.486823898,152.47288501725683,17.75,2023-03-01,2023-03-01 17:49:44
76,2023-01-01 19:12:06,66.48135,137.7204,273.857397414,153.16137615855868,17.75,2023-03-01,2023-03-01 17:49:44
77,2023-01-01 19:27:06,66.36336,137.4815,273.542501702,152.7137473982208,17.75,2023-03-01,2023-03-01 17:49:44
78,2023-01-01 19:42:06,66.75486,138.4825,273.320198382,153.60801837724634,17.75,2023-03-01,2023-03-01 17:49:44
79,2023-01-01 19:57:06,10.37229,13.83533,289.16022769799997,11.670380794730947,17.75,2023-03-01,2023-03-01 17:49:44
80,2023-01-01 20:12:06,10.30257,13.98395,290.160694612,11.632042340377536,17.75,2023-03-01,2023-03-01 17:49:44
81,2023-01-01 20:27:06,16.35218,25.76842,288.604469398,18.36329155509346,17.75,2023-03-01,2023-03-01 17:49:44
82,2023-01-01 20:42:06,32.12514,72.58485,284.30626529799997,75.34984455662591,17.75,2023-03-01,2023-03-01 17:49:44
83,2023-01-01 20:57:06,33.87352,68.54401,283.43550931199997,79.46456562822691,17.75,2023-03-01,2023-03-01 17:49:44
84,2023-01-01 21:12:06,34.4152,73.90517,284.936158696,81.16275662262551,17.75,2023-03-01,2023-03-01 17:49:44
85,2023-01-01 21:27:06,81.1066,170.1449,266.298574664,182.469130312235,17.75,2023-03-01,2023-03-01 17:49:44
86,2023-01-01 21:42:06,68.08492,139.8243,272.894049036,156.53276694338263,17.75,2023-03-01,2023-03-01 17:49:44
87,2023-01-01 21:57:06,66.9962,138.1183,273.320198382,154.16336010300478,17.75,2023-03-01,2023-03-01 17:49:44
88,2023-01-01 22:12:06,67.60224,139.269,273.02365799,155.49686337185594,17.75,2023-03-01,2023-03-01 17:49:44
89,2023-01-01 22:27:06,67.62369,139.2753,273.134911624,155.60958516740496,17.75,2023-03-01,2023-03-01 17:49:44
90,2023-01-01 22:42:06,69.00201,140.7642,272.393866566,158.4469088277771,17.75,2023-03-01,2023-03-01 17:49:44
91,2023-01-01 22:57:06,67.63978,138.7227,272.949624866,155.54102391506277,17.75,2023-03-01,2023-03-01 17:49:44
92,2023-01-01 23:12:06,68.86794,141.7152,272.57905135000004,158.24655812600176,17.75,2023-03-01,2023-03-01 17:49:44
93,2023-01-01 23:27:06,69.05565,141.08,272.393866566,158.57008048885658,17.75,2023-03-01,2023-03-01 17:49:44
94,2023-01-01 23:42:06,66.98012,138.4169,273.28307984599996,154.10542750630677,17.75,2023-03-01,2023-03-01 17:49:44
95,2023-01-01 23:57:06,68.33163,141.115,272.782897376,157.0359853720558,17.75,2023-03-01,2023-03-01 17:49:44
