,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,x__TimeStamp,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO
0,0.0,0.0,0.0,0.0,0.0,0.0,20/05/2022 13:00:00,"0,0000","31,9171","0,0000","0,4805","0,0000",ND
1,1.0,1.0,1.0,1.0,1.0,1.0,20/05/2022 13:15:00,"0,0000","31,7995","0,0000","0,4956","0,0000",ND
2,2.0,2.0,2.0,2.0,2.0,2.0,20/05/2022 13:30:00,"0,0000","31,7525","0,0000","0,4842","0,0000",ND
3,3.0,3.0,3.0,3.0,3.0,3.0,20/05/2022 13:45:00,"0,0000","31,7866","0,0000","0,4854","0,0000",ND
4,4.0,4.0,4.0,4.0,4.0,4.0,20/05/2022 14:00:00,"0,0000","31,9265","0,0000","0,4842","0,0000",ND
5,5.0,5.0,5.0,5.0,5.0,5.0,20/05/2022 14:15:00,"0,0000","31,9037","0,0000","0,4758","0,0000",ND
6,6.0,6.0,6.0,6.0,6.0,6.0,20/05/2022 14:30:00,"0,0000","31,8272","0,0000","0,4888","0,0000",ND
7,7.0,7.0,7.0,7.0,7.0,7.0,20/05/2022 14:45:00,"0,0000","31,7797","0,0000","0,4877","0,0000",ND
8,8.0,8.0,8.0,8.0,8.0,8.0,20/05/2022 15:00:00,"0,0000","31,9053","0,0000","0,4692","0,0000",ND
9,9.0,9.0,9.0,9.0,9.0,9.0,20/05/2022 15:15:00,"0,0000","31,9393","0,0000","0,4765","0,0000",ND
10,10.0,10.0,10.0,10.0,10.0,10.0,20/05/2022 15:30:00,"0,0000","32,0303","0,0000","0,4709","0,0000",ND
11,11.0,11.0,11.0,11.0,11.0,11.0,20/05/2022 15:45:00,"0,0000","31,9628","0,0000","0,4806","0,0000",ND
12,12.0,12.0,12.0,12.0,12.0,12.0,20/05/2022 16:00:00,"0,0000","31,9108","0,0000","0,4777","0,0000",ND
13,13.0,13.0,13.0,13.0,13.0,13.0,20/05/2022 16:15:00,"0,0000","31,8210","0,0000","0,4777","0,0000",ND
14,14.0,14.0,14.0,14.0,14.0,14.0,20/05/2022 16:30:00,"0,0000","31,7948","0,0000","0,4708","0,0000",ND
