tempi,Portate
30/12/2022 00:12:06,"66,3419"
30/12/2022 00:27:06,"66,84604"
30/12/2022 00:42:06,"65,60179"
30/12/2022 00:57:06,"65,47308"
30/12/2022 01:12:06,"10,2114"
30/12/2022 01:27:06,"10,21676"
30/12/2022 01:42:06,"27,09989"
30/12/2022 01:57:06,"41,90749"
30/12/2022 02:12:06,"54,11397"
30/12/2022 02:27:06,"35,16068"
30/12/2022 02:42:06,"70,36425"
30/12/2022 02:57:06,"70,15509"
30/12/2022 03:12:06,"69,4257"
30/12/2022 03:27:06,"69,72604"
30/12/2022 03:42:06,"68,62123"
30/12/2022 03:57:06,"67,0552"
30/12/2022 04:12:06,"67,50034"
30/12/2022 04:27:06,"68,78213"
30/12/2022 04:42:06,"69,54369"
30/12/2022 04:57:06,"68,1171"
30/12/2022 05:12:06,"68,16537"
30/12/2022 05:27:06,"68,79822"
30/12/2022 05:42:06,"67,90257"
30/12/2022 05:57:06,"67,84894"
30/12/2022 06:12:06,"67,6076"
30/12/2022 06:27:06,"67,58079"
30/12/2022 06:42:06,"68,34235"
30/12/2022 06:57:06,"67,16782"
30/12/2022 07:12:06,"67,259"
30/12/2022 07:27:06,"67,33945"
30/12/2022 07:42:06,"68,14391"
30/12/2022 07:57:06,"68,05274"
30/12/2022 08:12:06,"67,11955"
30/12/2022 08:27:06,"66,98548"
30/12/2022 08:42:06,"67,67196"
30/12/2022 08:57:06,"67,76313"
30/12/2022 09:12:06,"67,41453"
30/12/2022 09:27:06,"67,72023"
30/12/2022 09:42:06,"66,71732"
30/12/2022 09:57:06,"66,83531"
30/12/2022 10:12:06,"67,20537"
30/12/2022 10:27:06,"67,03374"
30/12/2022 10:42:06,"10,27576"
30/12/2022 10:57:06,"10,32939"
30/12/2022 11:12:06,"38,89877"
30/12/2022 11:27:06,"44,28336"
30/12/2022 11:42:06,"38,44291"
30/12/2022 11:57:06,"34,8657"
30/12/2022 12:12:06,"66,47062"
30/12/2022 12:27:06,"69,30235"
30/12/2022 12:42:06,"70,71822"
30/12/2022 12:57:06,"68,95374"
30/12/2022 13:12:06,"69,5705"
30/12/2022 13:27:06,"67,28045"
30/12/2022 13:42:06,"67,89721"
30/12/2022 13:57:06,"69,06101"
30/12/2022 14:12:06,"69,84939"
30/12/2022 14:27:06,"68,67487"
30/12/2022 14:42:06,"66,34727"
30/12/2022 14:57:06,"67,2"
30/12/2022 15:12:06,"68,49252"
30/12/2022 15:27:06,"66,61543"
30/12/2022 15:42:06,"67,53788"
30/12/2022 15:57:06,"68,16537"
30/12/2022 16:12:06,"66,80313"
30/12/2022 16:27:06,"68,80358"
30/12/2022 16:42:06,"68,79285"
30/12/2022 16:57:06,"68,28336"
30/12/2022 17:12:06,"67,259"
30/12/2022 17:27:06,"68,92693"
30/12/2022 17:42:06,"67,04447"
