t,Q,P,Bar,Eta
2025-06-01 00:01:19,0.0307198,65.7825,26.96545,0.793826980864751
2025-06-01 00:16:19,0.03078565,65.783,26.97636,0.7918146570832876
2025-06-01 00:31:19,0.03075613,65.854,27.01637,0.7922550449718427
2025-06-01 00:46:19,0.03061308,65.5575,26.94727,0.7944052778760933
2025-06-01 01:01:19,0.03074932,65.8535,26.96364,0.7939741503431631
2025-06-01 01:16:19,0.03071526,65.2625,26.89455,0.7897447831300176
2025-06-01 01:31:19,0.03065168,65.7085,26.87455,0.797384164811619
2025-06-01 01:46:19,0.03074705,65.7975,26.92546,0.7944825165689556
2025-06-01 02:01:19,0.03073797,65.705,26.96,0.792583244337076
2025-06-01 02:16:19,0.03081971,65.6965,26.99454,0.7893675904566683
2025-06-01 02:31:19,0.03064714,65.65,26.96182,0.7942132179585293
2025-06-01 02:46:19,0.03066758,65.712,26.99273,0.7935237059792635
2025-06-01 03:01:19,0.03074024,65.772,26.97636,0.7928517389945744
2025-06-01 03:16:19,0.03076067,65.671,26.99818,0.7904690820799507
2025-06-01 03:31:19,0.030676659999999998,65.895,27.03455,0.7942674808635583
2025-06-01 03:46:19,0.0307743,65.848,27.01637,0.7917151353820249
2025-06-01 04:01:19,0.03080609,66.084,27.05455,0.7926125881608753
2025-06-01 04:16:19,0.03081517,65.7475,27.02364,0.7892459582266275
2025-06-01 04:31:19,0.030792459999999997,65.8185,27.07273,0.7892472549435249
2025-06-01 04:46:19,0.03075159,65.8925,27.06546,0.7913972454358074
2025-06-01 05:01:19,0.03081063,66.0045,27.04,0.7919683339194041
2025-06-01 05:16:19,0.030772030000000002,65.9725,27.06546,0.7918317642287488
2025-06-01 05:31:19,0.03076067,65.9735,27.03818,0.7929354175458746
2025-06-01 05:46:19,0.03077884,66.065,27.03091,0.7937798354805252
2025-06-01 06:01:19,0.03073116,65.901,27.06,0.7921853309378933
2025-06-01 06:16:19,0.03073797,66.102,27.06182,0.7943720477684735
2025-06-01 06:31:19,0.030701640000000002,65.8985,27.02182,0.7940372836648022
2025-06-01 06:46:19,0.030708449999999998,65.818,27.05818,0.7918259694670979
2025-06-01 07:01:19,0.03077657,65.9545,27.05818,0.7917118977408961
2025-06-01 07:16:20,0.030831070000000002,66.209,27.05637,0.7934150594152661
2025-06-01 07:31:19,0.03073797,65.79,27.00727,0.7922195495561641
2025-06-01 07:46:20,0.03073116,65.98,27.06364,0.7930283023344972
2025-06-01 08:01:20,0.03145095,70.5865,28.12727,0.7976306525492863
2025-06-01 08:16:20,0.03135786,69.9765,28.18909,0.7913457624572461
2025-06-01 08:31:20,0.03147366,70.915,28.24,0.7975679678079942
2025-06-01 08:46:20,0.03136694,69.564,28.17818,0.7867576812033031
2025-06-01 09:01:20,0.03105132,68.025,27.54,0.7951811659300128
2025-06-01 09:16:20,0.03052225,64.2235,26.57818,0.7913957681406344
2025-06-01 09:31:20,0.03048365,64.5,26.65636,0.7934753517220275
2025-06-01 09:46:20,0.03052225,64.7865,26.71455,0.7942580911252664
2025-06-01 10:01:20,0.030560860000000002,64.4755,26.69091,0.790145923714403
2025-06-01 10:16:20,0.030456410000000003,64.6785,26.70546,0.7949186814836532
2025-06-01 10:31:20,0.030560860000000002,64.968,26.74909,0.7944497845935935
2025-06-01 10:46:20,0.03063352,64.924,26.74,0.7922978922419437
2025-06-01 11:01:20,0.030622160000000002,64.46,26.69273,0.7883208691907007
2025-06-01 11:16:20,0.03065395,64.84,26.74364,0.7906378137405219
2025-06-01 11:31:20,0.030540420000000002,64.779,26.72546,0.793369649831902
2025-06-01 11:46:20,0.03049955,64.3265,26.61091,0.7922792864405866
2025-06-01 12:01:20,0.0305881,65.049,26.78182,0.7937606655653942
2025-06-01 12:16:20,0.03050409,65.2565,26.74182,0.7996800830348711
2025-06-01 12:31:20,0.03059719,65.0965,26.79636,0.7936734072960208
2025-06-01 12:46:20,0.030767489999999998,65.0865,26.82,0.7884635372013323
2025-06-01 13:01:20,0.0305881,64.994,26.78546,0.7929817512571464
2025-06-01 13:16:20,0.030676659999999998,65.0165,26.76182,0.7916649288163923
2025-06-01 13:31:20,0.03072889,65.6325,26.96545,0.7917825747239182
2025-06-01 13:46:20,0.030676659999999998,65.9875,27.03091,0.7954895392771275
2025-06-01 14:01:20,0.03076067,65.8025,27.04,0.7908269364314693
2025-06-01 14:16:20,0.03086058,65.771,26.98182,0.7895882152564343
2025-06-01 14:31:20,0.0307743,65.9595,27.0,0.79353656834907
2025-06-01 14:46:20,0.03074478,66.143,27.03818,0.7953835080855609
2025-06-01 15:01:20,0.03075386,65.36,26.94909,0.788333247770389
2025-06-01 15:16:20,0.03084696,66.0735,27.10909,0.78984439455551
2025-06-01 15:31:20,0.03079927,65.9485,27.06364,0.7908968185634707
2025-06-01 15:46:20,0.03088783,66.021,27.10182,0.7883839617530068
2025-06-01 16:01:20,0.03080836,65.95,27.05637,0.7908939030267297
2025-06-01 16:16:20,0.03086967,65.9055,27.05818,0.7887377519958829
2025-06-01 16:31:20,0.03090372,66.009,27.06,0.7890529328828382
2025-06-01 16:46:20,0.03088102,66.017,27.08546,0.7889863141931394
2025-06-01 17:01:20,0.03082198,65.9515,27.13273,0.788337503354934
2025-06-01 17:16:20,0.03063579,64.6515,26.75273,0.7885385912381286
2025-06-01 17:31:20,0.03064033,64.8645,26.70909,0.7923117239886082
2025-06-01 17:46:20,0.03061535,64.8425,26.8,0.7900003167699555
2025-06-01 18:01:20,0.03060173,64.8615,26.78,0.7911739398973262
2025-06-01 18:16:20,0.03069028,64.798,26.75818,0.7887615239642803
2025-06-01 18:31:20,0.03065168,65.0265,26.84727,0.7899098022566465
2025-06-01 18:46:20,0.030699369999999997,64.402,26.71818,0.7848823400745967
2025-06-01 19:01:20,0.03071526,64.9165,26.69818,0.7913357413216665
