,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2024-02-27 00:10:51,63.29565,138.6646,277.451573018,156.83344684413214,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.48881625860656
1,2024-02-27 00:25:51,65.66615,140.9993,277.358878652,163.09456345043304,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.91586514318496
2,2024-02-27 00:40:51,69.84939,147.631,274.302004054,172.01675588236887,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.54471276195663
3,2024-02-27 00:55:51,66.72805,142.0915,274.89488089,164.3861635152936,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.96306647279513
4,2024-02-27 01:10:51,61.66525,135.4682,278.174058808,153.03810310943763,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.50284505226543
5,2024-02-27 01:25:51,59.13386,130.3974,278.19261807600003,146.27259243184716,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.80125276297211
6,2024-02-27 01:40:51,0.0,2.440366,291.99479897599997,0.0,16.25111111111111,2024-02-27,2024-02-27 16:25:55,inf
7,2024-02-27 01:55:51,37.23621,85.07529,284.565687154,94.68934990289068,16.25111111111111,2024-02-27,2024-02-27 16:25:55,81.8439211075688
8,2024-02-27 02:10:51,22.92201,50.23683,289.86415422,28.669886840919563,16.25111111111111,2024-02-27,2024-02-27 16:25:55,77.0736648269014
9,2024-02-27 02:25:51,50.39196,108.4463,282.453601666,126.6109650106617,16.25111111111111,2024-02-27,2024-02-27 16:25:55,77.66714915928515
10,2024-02-27 02:40:51,55.88917,123.2429,279.359710506,138.20240168673152,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.46397246434574
11,2024-02-27 02:55:51,28.88045,65.76669,290.345879396,73.81660806843975,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.94979499057227
12,2024-02-27 03:10:51,55.41185,122.2311,279.322693944,136.78505612264954,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.50147555958243
13,2024-02-27 03:25:51,48.12335,107.9999,281.101222478,120.5987916829235,16.25111111111111,2024-02-27,2024-02-27 16:25:55,81.38338685383673
14,2024-02-27 03:40:51,74.48313,154.6708,273.246063284,182.95875536119473,16.25111111111111,2024-02-27,2024-02-27 16:25:55,77.46891832157895
15,2024-02-27 03:55:51,76.17252,159.2897,272.041852318,186.34572016923315,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.3582341192861
16,2024-02-27 04:10:51,75.14816,156.5692,272.13444471,183.87720117534994,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.04327015344109
17,2024-02-27 04:25:51,72.79375,152.5339,271.430416214,177.5785905281068,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.69456909034606
18,2024-02-27 04:40:51,70.78793,148.565,273.857397414,174.11919875250453,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.12028348574815
19,2024-02-27 04:55:51,69.45788,147.2917,274.28354676000004,170.95306395054584,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.81120849234777
20,2024-02-27 05:10:51,70.09073,148.0918,274.15383583199997,172.51786088236466,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.56101657103113
21,2024-02-27 05:25:51,69.10928,145.5981,274.598442472,170.29035334976055,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.20819491852825
22,2024-02-27 05:40:51,70.90056,151.2965,275.432181896,175.39908303086787,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.97607137063929
23,2024-02-27 05:55:51,73.85028,155.4955,271.504551312,180.24807084072341,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.05321872685109
24,2024-02-27 06:10:51,77.0038,163.1564,271.096961234,187.7364327231713,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.6706388978475
25,2024-02-27 06:25:51,76.2047,161.8757,271.63426224,186.14513143199022,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.71615558585205
26,2024-02-27 06:40:51,76.92872,163.1079,271.319264554,187.70718295811736,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.65936705231167
27,2024-02-27 06:55:51,76.84827,160.699,270.744946986,187.11396840007308,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.73171500355222
28,2024-02-27 07:10:51,73.86101,156.0027,273.02365799,181.28291998621788,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.85833158853495
29,2024-02-27 07:25:51,73.6143,155.9108,272.764338108,180.505791390131,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.15118421575113
30,2024-02-27 07:40:51,74.99263,158.7372,272.153003978,183.50915494645542,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.28261954659071
31,2024-02-27 07:55:51,75.88291,160.75,271.85656556000004,185.51079178545675,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.43248896219926
32,2024-02-27 08:10:51,76.30123,160.9961,271.560127142,186.33005760458192,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.2043083833002
33,2024-02-27 08:25:51,76.41922,159.7686,271.875022854,186.83459171709046,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.388167300776
34,2024-02-27 08:40:51,75.15888,157.3022,271.319264554,183.35254784599846,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.6330023887347
35,2024-02-27 08:55:51,71.60313,151.114,273.468366604,175.9352293984368,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.66772490072073
36,2024-02-27 09:10:51,69.2809,146.2241,277.43301375,172.47544299825483,16.25111111111111,2024-02-27,2024-02-27 16:25:55,77.54937270799101
37,2024-02-27 09:25:51,67.34481,141.7845,275.50621502,166.27452129415192,16.25111111111111,2024-02-27,2024-02-27 16:25:55,77.89762491238689
38,2024-02-27 09:40:51,66.57252,140.6237,276.024956758,164.67721784825017,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.00926139023314
39,2024-02-27 09:55:51,67.41453,143.1377,275.30247096799997,166.32356850741277,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.61789414599075
40,2024-02-27 10:10:51,68.07956,145.2947,274.67257757,167.69619654136088,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.20429304773134
41,2024-02-27 10:25:51,71.57632,152.0551,272.393866566,175.178336618295,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.49966404481917
42,2024-02-27 10:40:55,69.94056,150.0413,274.487290812,172.3576248140521,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.66920159897538
43,2024-02-27 10:55:55,73.97363,156.7479,272.41232386,181.15279810080892,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.29193969732525
44,2024-02-27 11:10:55,75.67911,161.3703,271.986276488,185.10083739777454,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.91560496190732
45,2024-02-27 11:25:55,74.1828,156.6617,271.949157952,181.35615718034796,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.15947177989393
46,2024-02-27 11:40:55,72.89028,153.9377,273.579518264,179.22194993782293,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.6905873729107
47,2024-02-27 11:55:55,71.04,149.2185,273.208944748,174.32546700306924,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.37107356238508
48,2024-02-27 12:10:55,68.11173,141.6564,274.227868956,167.5038021149411,16.25111111111111,2024-02-27,2024-02-27 16:25:55,77.3096475282688
49,2024-02-27 12:25:55,63.13475,137.6568,276.877153476,156.1108967155598,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.27366204886248
50,2024-02-27 12:40:55,62.98994,137.7548,276.895712744,155.76327075292483,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.5100890547175
51,2024-02-27 12:55:55,67.41453,143.2442,276.09909185600003,166.80484580352214,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.44938615215408
52,2024-02-27 13:10:55,70.23017,149.23,272.597610618,171.87983143497135,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.45868384321837
53,2024-02-27 13:25:55,74.17744,157.0232,272.63462718,181.8001429024075,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.148367356629
54,2024-02-27 13:40:55,74.02727,157.0299,272.653186448,181.44444473926626,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.30691119597645
55,2024-02-27 13:55:55,70.01028,148.2464,274.227868956,172.36637886804408,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.7121445471319
56,2024-02-27 14:10:55,66.85677,142.7756,276.210243516,165.49136786510684,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.81335489183012
57,2024-02-27 14:25:55,63.07576,137.9197,276.914272012,155.9859432739071,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.49139695301662
58,2024-02-27 14:40:55,68.64268,146.8627,273.190487454,168.27337796098902,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.83304538350835
59,2024-02-27 14:55:55,72.06973,153.4166,273.431248068,177.05767116938654,16.25111111111111,2024-02-27,2024-02-27 16:25:55,79.36011829895857
60,2024-02-27 15:10:55,71.39933,151.1356,273.67211065600003,175.50425443924087,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.8448060189548
61,2024-02-27 15:25:55,68.4228,144.9243,275.71006104599996,169.17828816530047,16.25111111111111,2024-02-27,2024-02-27 16:25:55,78.31027465291226
62,2024-02-27 15:40:55,0.0,1.474457,292.383829786,0.0,16.25111111111111,2024-02-27,2024-02-27 16:25:55,inf
63,2024-02-27 15:55:55,55.7819,123.6801,279.74884329,138.12928397138154,16.25111111111111,2024-02-27,2024-02-27 16:25:55,80.79215977877223
64,2024-02-27 16:10:55,41.89676,96.65803,283.991369586,106.4192372895385,16.25111111111111,2024-02-27,2024-02-27 16:25:55,82.81010798047491
65,2024-02-27 16:25:55,36.38347,75.75555,286.25152132200003,86.40050590720655,16.25111111111111,2024-02-27,2024-02-27 16:25:55,74.14699043904058
