,t,Q,P,h,Target,dt,tIn,tOff
0,2024-01-23 00:13:50,0.0,0.0,179.576519922,0.0,10.5,2024-02-13,2024-02-13 10:40:31
1,2024-01-23 00:28:50,0.0,0.0,179.35421660199998,0.0,10.5,2024-02-13,2024-02-13 10:40:31
2,2024-01-23 00:43:50,0.0,0.0,178.44634208,0.0,10.5,2024-02-13,2024-02-13 10:40:31
3,2024-01-23 00:58:50,0.0,0.0,178.205581466,0.0,10.5,2024-02-13,2024-02-13 10:40:31
4,2024-01-23 01:13:50,0.0,0.0,178.1128871,0.0,10.5,2024-02-13,2024-02-13 10:40:31
5,2024-01-23 01:28:50,0.0,0.0,179.33565733400002,0.0,10.5,2024-02-13,2024-02-13 10:40:31
6,2024-01-23 01:43:50,0.0,0.0,178.742780498,0.0,10.5,2024-02-13,2024-02-13 10:40:31
7,2024-01-23 01:58:50,0.0,0.0,178.668747374,0.0,10.5,2024-02-13,2024-02-13 10:40:31
8,2024-01-23 02:13:50,0.0,0.0,178.39076624999998,0.0,10.5,2024-02-13,2024-02-13 10:40:31
9,2024-01-23 02:28:50,0.0,0.0,177.909143048,0.0,10.5,2024-02-13,2024-02-13 10:40:31
10,2024-01-23 02:43:50,0.0,0.0,178.742780498,0.0,10.5,2024-02-13,2024-02-13 10:40:31
11,2024-01-23 02:58:50,0.0,0.0,177.797991388,0.0,10.5,2024-02-13,2024-02-13 10:40:31
12,2024-01-23 03:13:50,0.0,0.0,178.55749374,0.0,10.5,2024-02-13,2024-02-13 10:40:31
13,2024-01-23 03:28:50,0.0,0.0,178.05731127,0.0,10.5,2024-02-13,2024-02-13 10:40:31
14,2024-01-23 03:43:50,0.0,0.0,178.35374968800002,0.0,10.5,2024-02-13,2024-02-13 10:40:31
15,2024-01-23 03:58:50,0.0,0.0,177.909143048,0.0,10.5,2024-02-13,2024-02-13 10:40:31
16,2024-01-23 04:13:50,0.0,0.0,178.242598028,0.0,10.5,2024-02-13,2024-02-13 10:40:31
17,2024-01-23 04:28:50,0.0,0.0,178.242598028,0.0,10.5,2024-02-13,2024-02-13 10:40:31
18,2024-01-23 04:43:50,0.0,0.0,178.72422123,0.0,10.5,2024-02-13,2024-02-13 10:40:31
19,2024-01-23 04:58:50,0.0,0.0,177.186555284,0.0,10.5,2024-02-13,2024-02-13 10:40:31
20,2024-01-23 05:13:50,0.0,0.0,177.63126389800001,0.0,10.5,2024-02-13,2024-02-13 10:40:31
21,2024-01-23 05:28:50,0.0,0.0,177.22367382000002,0.0,10.5,2024-02-13,2024-02-13 10:40:31
22,2024-01-23 05:43:50,0.0,0.0,177.33482548,0.0,10.5,2024-02-13,2024-02-13 10:40:31
23,2024-01-23 05:58:50,0.0,0.0,178.576053008,0.0,10.5,2024-02-13,2024-02-13 10:40:31
24,2024-01-23 06:13:50,0.0,0.0,178.020294708,0.0,10.5,2024-02-13,2024-02-13 10:40:31
25,2024-01-23 06:28:50,0.0,0.0,178.27961459,0.0,10.5,2024-02-13,2024-02-13 10:40:31
26,2024-01-23 06:43:50,0.0,0.0,131.55604555600002,0.0,10.5,2024-02-13,2024-02-13 10:40:31
27,2024-01-23 06:58:50,0.0,0.0,105.85992321799999,0.0,10.5,2024-02-13,2024-02-13 10:40:31
28,2024-01-23 07:13:50,0.0,0.0,83.3688335026,0.0,10.5,2024-02-13,2024-02-13 10:40:31
29,2024-01-23 07:28:50,0.0,0.0,39.665030728,0.0,10.5,2024-02-13,2024-02-13 10:40:31
30,2024-01-23 07:43:50,0.0,0.0,43.462940186599994,0.0,10.5,2024-02-13,2024-02-13 10:40:31
31,2024-01-23 07:58:50,0.0,0.0,71.2710868282,0.0,10.5,2024-02-13,2024-02-13 10:40:31
32,2024-01-23 08:13:50,0.0,0.0,100.4316534474,0.0,10.5,2024-02-13,2024-02-13 10:40:31
33,2024-01-23 08:28:50,0.0,0.0,131.48191045800002,0.0,10.5,2024-02-13,2024-02-13 10:40:31
34,2024-01-23 08:43:50,0.0,0.0,158.3452272,0.0,10.5,2024-02-13,2024-02-13 10:40:31
35,2024-01-23 08:58:50,0.0,0.0,186.33861981,0.0,10.5,2024-02-13,2024-02-13 10:40:31
36,2024-01-23 09:13:50,0.0,0.0,217.129465162,0.0,10.5,2024-02-13,2024-02-13 10:40:31
37,2024-01-23 09:28:50,0.0,0.0,252.20005731999998,0.0,10.5,2024-02-13,2024-02-13 10:40:31
38,2024-01-23 09:43:50,0.0,0.0,293.86591990200003,0.0,10.5,2024-02-13,2024-02-13 10:40:31
39,2024-01-23 09:58:50,0.0,0.0,294.866386816,0.0,10.5,2024-02-13,2024-02-13 10:40:31
40,2024-01-23 10:13:50,54.93452,0.0,286.640654106,130.77913904168946,10.5,2024-02-13,2024-02-13 10:40:31
41,2024-01-23 10:28:50,54.29095,124.3981,279.26711811399997,125.96948646733107,10.5,2024-02-13,2024-02-13 10:40:31
42,2024-01-23 10:43:50,55.65319,117.2595,281.156798308,130.1632496797868,10.5,2024-02-13,2024-02-13 10:40:31
