t,Q,P,Bar,Eta
2025-06-06 00:00:00,1.9285,206.7979,1.4667999999999999,0.730797608115433
2025-06-06 00:15:00,1.9252,206.3719,1.4655,0.731190304894155
2025-06-06 00:30:00,1.9302,206.0216,1.467,0.7273138671379298
2025-06-06 00:45:00,1.9263,206.5585,1.4668,0.7307852662142206
2025-06-06 01:00:00,1.9262,206.3069,1.4670999999999998,0.729783760826618
2025-06-06 01:15:00,1.9277,206.4123,1.4645000000000001,0.7308837180902457
2025-06-06 01:30:00,1.9269,206.2708,1.4658,0.7300378818373273
2025-06-06 01:45:00,1.9237,205.588,1.4670999999999998,0.7281858525604682
2025-06-06 02:00:00,1.9255,205.809,1.4696,0.7270482504577175
2025-06-06 02:15:00,1.9219,205.5592,1.4722,0.7262411550626284
2025-06-06 02:30:00,1.9244,205.5638,1.4685000000000001,0.7271414062175882
2025-06-06 02:45:00,1.9198,205.4307,1.4707999999999999,0.7272726822530332
2025-06-06 03:00:00,1.9229,205.4639,1.4693,0.7269589484619169
2025-06-06 03:15:00,1.9201,205.5291,1.4658,0.7299889614981139
2025-06-06 03:30:00,1.9207,205.3055,1.4675,0.7281225395933029
2025-06-06 03:45:00,1.9159,205.2447,1.4693999999999998,0.7287869976898612
2025-06-06 04:00:00,1.9199,205.5245,1.4681,0.7289049348943574
2025-06-06 04:15:00,1.917,205.4273,1.4664,0.7305082596829111
2025-06-06 04:30:00,1.9191,205.6367,1.468,0.7296565783477575
2025-06-06 04:45:00,1.9217,205.4111,1.4687,0.7275230553633865
2025-06-06 05:00:00,1.9199,205.4648,1.4623,0.7315834607542533
2025-06-06 05:15:00,1.9184,205.2387,1.4683,0.7283612424613656
2025-06-06 05:30:00,1.9137,205.4411,1.4682000000000002,0.730919910939058
2025-06-06 05:45:00,1.9165,205.5569,1.4698,0.729468478920223
2025-06-06 06:00:00,1.9143,205.8092,1.4702,0.7310042539185179
2025-06-06 06:15:00,1.9178,205.496,1.4707999999999999,0.7282625453599441
2025-06-06 06:30:00,1.9128,205.9374,1.4669,0.7336800181634914
2025-06-06 06:45:00,1.9153,204.6924,1.469,0.727251542607434
2025-06-06 07:00:00,1.912,204.8396,1.4685,0.7292788485219178
2025-06-06 07:15:00,1.9183,204.8657,1.47,0.7262345861991221
2025-06-06 07:30:00,1.92,204.7382,1.468,0.7261279167327452
2025-06-06 07:45:00,1.9108,205.2444,1.4706000000000001,0.7301348188267459
2025-06-06 08:00:00,1.9173,205.461,1.4665000000000001,0.7304639635004285
2025-06-06 08:15:00,1.921,205.4548,1.4699,0.7273487131022398
2025-06-06 08:30:00,1.9176,205.7889,1.4667,0.7314155179345575
2025-06-06 08:45:00,1.9146,205.5548,1.4654,0.7323773732528577
2025-06-06 09:00:00,1.9161,205.8193,1.4683,0.7312984697003412
2025-06-06 09:15:00,1.9184,205.8033,1.4672,0.7309124974207699
2025-06-06 09:30:00,1.9226,205.4384,1.4670999999999998,0.7280722968055205
2025-06-06 09:45:00,1.9196,205.8977,1.4668,0.7309899233089684
2025-06-06 10:00:00,1.9206,205.9057,1.4687000000000001,0.729692508054927
2025-06-06 10:15:00,1.9164,205.9723,1.4731999999999998,0.7292937365734766
2025-06-06 10:30:00,1.9198,206.0986,1.4718,0.7291414595201052
2025-06-06 10:45:00,1.9184,206.3635,1.4683,0.7323529882944884
2025-06-06 11:00:00,1.9253,206.2045,1.465,0.7308085852399935
2025-06-06 11:15:00,1.9211,206.0467,1.4646,0.7320457085584929
2025-06-06 11:30:00,1.9208,205.6695,1.4633,0.7314689744853237
2025-06-06 11:45:00,1.9204,205.886,1.4639,0.7320912994795932
2025-06-06 12:00:00,1.9232,206.0352,1.4675,0.7297605812576626
2025-06-06 12:15:00,1.9276,205.8924,1.465,0.7288317964886514
2025-06-06 12:30:00,1.9284,205.8486,1.4653,0.7282253328728965
2025-06-06 12:45:00,1.9277,206.3794,1.4662,0.7299199274959967
2025-06-06 13:00:00,1.9267,206.4056,1.4605,0.7332420362024938
2025-06-06 13:15:00,1.9347,206.4847,1.466,0.7277493271389684
2025-06-06 13:30:00,1.9308,206.2689,1.4637,0.7296018509073955
2025-06-06 13:45:00,1.9293,206.1329,1.4602,0.7314366914478544
2025-06-06 14:00:00,1.9339,206.7034,1.4624,0.7306156420326674
2025-06-06 14:15:00,1.9371,206.4039,1.4630999999999998,0.7280033622241644
2025-06-06 14:30:00,1.9377,206.5904,1.4611999999999998,0.7293827218377539
2025-06-06 14:45:00,1.9364,206.5905,1.4637,0.7286261225677938
2025-06-06 15:00:00,1.9374,206.623,1.4615,0.7294610127318316
2025-06-06 15:15:00,1.9375,206.2982,1.4585,0.7297747478073107
2025-06-06 15:30:00,1.9349,206.5893,1.4611999999999998,0.7304343246638968
2025-06-06 15:45:00,1.943,206.7164,1.4592,0.7288343771926986
2025-06-06 16:00:00,1.9409,206.5873,1.462,0.7277707964405857
2025-06-06 16:15:00,1.9396,206.6597,1.4591,0.7299617424431416
2025-06-06 16:30:00,1.9347,206.3513,1.4589999999999999,0.7307685075659517
