,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2024-02-27 00:00:00,40.41,105.0756,307.48934038,111.14019576987602,16.75,2024-02-27,2024-02-27 16:45:00,86.201327878126
1,2024-02-27 00:15:00,44.2481,113.7355,304.51577854000004,120.45216048768167,16.75,2024-02-27,2024-02-27 16:45:00,86.04439915008449
2,2024-02-27 00:30:00,42.1702,108.8863,307.40674144,115.94542289488112,16.75,2024-02-27,2024-02-27 16:45:00,85.621963920861
3,2024-02-27 00:45:00,34.9391,90.3657,312.05267688,97.24013725557712,16.75,2024-02-27,2024-02-27 16:45:00,84.48799103794758
4,2024-02-27 01:00:00,37.5655,98.5141,309.73174864,104.02854055494407,16.75,2024-02-27,2024-02-27 16:45:00,86.30868278206924
5,2024-02-27 01:15:00,44.4747,115.1379,305.03686568,121.2761841069402,16.75,2024-02-27,2024-02-27 16:45:00,86.51351143122321
6,2024-02-27 01:30:00,45.7127,118.2942,306.13512566,124.96642816706951,16.75,2024-02-27,2024-02-27 16:45:00,86.16768152273367
7,2024-02-27 01:45:00,43.9642,115.2267,310.39457964,121.98978617832329,16.75,2024-02-27,2024-02-27 16:45:00,86.07376761961937
8,2024-02-27 02:00:00,45.9691,120.8808,309.38605678,127.00185335972449,16.75,2024-02-27,2024-02-27 16:45:00,86.64062566127518
9,2024-02-27 02:15:00,42.9666,110.312,311.60399128,119.72553213341756,16.75,2024-02-27,2024-02-27 16:45:00,83.98848560751468
10,2024-02-27 02:30:00,42.8798,114.4688,312.30965136,119.75424910324547,16.75,2024-02-27,2024-02-27 16:45:00,87.13245809521595
11,2024-02-27 02:45:00,51.6614,133.7201,306.06782282,140.22438201235926,16.75,2024-02-27,2024-02-27 16:45:00,86.2072596334185
12,2024-02-27 03:00:00,51.5811,133.3796,305.64463072,139.8128406863947,16.75,2024-02-27,2024-02-27 16:45:00,86.240850899722
13,2024-02-27 03:15:00,51.4895,133.1731,305.36420222,139.69206597236467,16.75,2024-02-27,2024-02-27 16:45:00,86.33973353512117
14,2024-02-27 03:30:00,51.5695,132.9334,304.92163506,139.45074854875293,16.75,2024-02-27,2024-02-27 16:45:00,86.17552636651389
15,2024-02-27 03:45:00,50.1444,129.7849,306.7071998,136.80732823708945,16.75,2024-02-27,2024-02-27 16:45:00,86.02184425852822
16,2024-02-27 04:00:00,44.2049,115.4986,310.16921709999997,122.56861335231312,16.75,2024-02-27,2024-02-27 16:45:00,85.86943519651068
17,2024-02-27 04:15:00,40.0055,104.7013,310.58629076,111.13586318386926,16.75,2024-02-27,2024-02-27 16:45:00,85.89761030851045
18,2024-02-27 04:30:00,38.8955,101.7731,310.68520553999997,108.07402800748851,16.75,2024-02-27,2024-02-27 16:45:00,85.85074416918961
19,2024-02-27 04:45:00,39.3692,102.9781,309.89184782,109.11090245864867,16.75,2024-02-27,2024-02-27 16:45:00,86.04172838380845
20,2024-02-27 05:00:00,39.3442,102.5721,310.3272768,109.19482984354231,16.75,2024-02-27,2024-02-27 16:45:00,85.6366303529394
21,2024-02-27 05:15:00,37.8413,98.9982,310.95543664,105.20631511895893,16.75,2024-02-27,2024-02-27 16:45:00,85.76183975035295
22,2024-02-27 05:30:00,40.5405,105.9194,309.58694556,112.26229792516719,16.75,2024-02-27,2024-02-27 16:45:00,86.02699730528714
23,2024-02-27 05:45:00,42.3346,110.1463,308.31227056,116.74030701633366,16.75,2024-02-27,2024-02-27 16:45:00,86.02301012875037
24,2024-02-27 06:00:00,38.3955,100.0555,310.76168604,106.68058882495481,16.75,2024-02-27,2024-02-27 16:45:00,85.4799309444097
25,2024-02-27 06:15:00,38.4087,101.6525,312.0149465,107.14764107954923,16.75,2024-02-27,2024-02-27 16:45:00,86.46573746656428
26,2024-02-27 06:30:00,49.561,127.9594,304.12521812,134.07735856464328,16.75,2024-02-27,2024-02-27 16:45:00,86.53876510661776
27,2024-02-27 06:45:00,50.952,128.0164,298.04552824,134.92076298923791,16.75,2024-02-27,2024-02-27 16:45:00,85.93157197881894
28,2024-02-27 07:00:00,50.4314,124.0542,293.44956006,131.64289931788622,16.75,2024-02-27,2024-02-27 16:45:00,85.44919540240633
29,2024-02-27 07:15:00,46.4991,115.9461,298.27700921999997,123.85331846000408,16.75,2024-02-27,2024-02-27 16:45:00,85.21632691225281
30,2024-02-27 07:30:00,33.3963,82.9035,310.16921709999997,92.1569000128118,16.75,2024-02-27,2024-02-27 16:45:00,81.584341209869
31,2024-02-27 07:45:00,1.777,3.7371,327.87394298000004,2.514045308794422,16.75,2024-02-27,2024-02-27 16:45:00,65.38398412825464
32,2024-02-27 08:00:00,0.7586,0.0,329.79309365999995,1.079526142897013,16.75,2024-02-27,2024-02-27 16:45:00,0.0
33,2024-02-27 08:15:00,10.6783,26.112,322.25415584,14.848391635127452,16.75,2024-02-27,2024-02-27 16:45:00,77.35181080515238
34,2024-02-27 08:30:00,28.6527,72.8207,310.81369278,78.39712894012308,16.75,2024-02-27,2024-02-27 16:45:00,83.35279093780869
35,2024-02-27 08:45:00,33.0333,83.6668,306.79489744,90.16352942361402,16.75,2024-02-27,2024-02-27 16:45:00,84.1558009501892
36,2024-02-27 09:00:00,34.3243,86.5092,304.8971613,93.22611890597139,16.75,2024-02-27,2024-02-27 16:45:00,84.26325247128781
37,2024-02-27 09:30:00,32.7522,81.7192,306.28910640000004,89.24889300457507,16.75,2024-02-27,2024-02-27 16:45:00,83.03918362780973
38,2024-02-27 09:45:00,17.8367,40.3189,314.97321224,24.241913461287318,16.75,2024-02-27,2024-02-27 16:45:00,73.15626764398942
39,2024-02-27 10:00:00,22.6163,56.793,311.41635912,30.390773117362126,16.75,2024-02-27,2024-02-27 16:45:00,82.19829770939756
40,2024-02-27 10:15:00,32.4705,82.1629,305.42130766,88.05678357724487,16.75,2024-02-27,2024-02-27 16:45:00,84.45365383044201
41,2024-02-27 10:30:00,32.5876,82.408,305.5854858,88.59636624836435,16.75,2024-02-27,2024-02-27 16:45:00,84.35586185485437
42,2024-02-27 10:45:00,26.552,65.1119,311.02171974,72.08607764065793,16.75,2024-02-27,2024-02-27 16:45:00,80.37174604323793
43,2024-02-27 11:00:00,18.6855,45.3664,316.39269032000004,25.50996918198116,16.75,2024-02-27,2024-02-27 16:45:00,78.2229419113122
44,2024-02-27 11:15:00,35.4593,91.6112,308.6905941,97.62465037738872,16.75,2024-02-27,2024-02-27 16:45:00,85.31512078966625
45,2024-02-27 11:30:00,37.9281,96.9495,306.08107944,103.79470029367518,16.75,2024-02-27,2024-02-27 16:45:00,85.12928672923314
46,2024-02-27 11:45:00,39.9214,102.478,306.05048724,109.28261548257267,16.75,2024-02-27,2024-02-27 16:45:00,85.49934648780469
47,2024-02-27 12:00:00,41.1407,105.9553,305.48351180000003,112.4143203189715,16.75,2024-02-27,2024-02-27 16:45:00,85.93977784490377
