t,Q,P,Bar,Eta
2024-02-10 18:03:50,0.02691644,51.0305,26.79273,0.7073539360068365
2024-02-10 18:18:50,0.026914169999999998,50.3525,26.71273,0.7001052104494192
2024-02-10 18:33:50,0.0269119,50.633,26.69818,0.7044483892253358
2024-02-10 18:48:50,0.02703679,50.253,26.67273,0.6965959325632823
2024-02-10 19:03:50,0.02698002,50.2785,26.65818,0.6987970882528568
2024-02-10 19:18:50,0.02697548,50.4845,26.69091,0.700917712161597
2024-02-10 19:33:50,0.02700273,50.358,26.73091,0.6974106793102431
2024-02-10 19:48:50,0.02693007,50.745,26.66545,0.7063962660112353
2024-02-10 20:03:50,0.027004999999999998,50.0655,26.72,0.6935846289523494
2024-02-10 20:18:50,0.026846050000000003,50.1595,26.65455,0.7007175366819787
2024-02-10 20:33:50,0.027048140000000002,50.4425,26.67818,0.6987865480849623
2024-02-10 20:48:50,0.02698002,50.6185,26.76,0.7008457312996047
2024-02-10 21:03:50,0.027529520000000002,53.8145,27.71637,0.7050271757908944
2024-02-10 21:18:50,0.02769528,55.023,28.10364,0.7066713252481048
2024-02-10 21:33:50,0.0273456,53.3655,27.55637,0.7079338131368619
2024-02-10 21:48:50,0.02735922,52.6125,27.45273,0.7002308262752197
2024-02-10 22:03:50,0.027668030000000003,55.57,28.25273,0.7106295737558663
2024-02-10 22:18:50,0.027027699999999998,50.8975,26.91455,0.6994260054053191
2024-02-10 22:33:50,0.02737057,52.4935,27.31091,0.7019837434954093
2024-02-10 22:48:50,0.02700727,51.314,26.85818,0.7071639956570355
2024-02-10 23:03:50,0.02693233,50.6495,26.63091,0.7059220796327135
2024-02-10 23:18:50,0.02697548,50.396,26.68,0.6999751112902988
2024-02-10 23:33:50,0.026834700000000003,49.987,26.62545,0.6993666352977387
2024-02-10 23:48:50,0.026950500000000002,50.474,26.64182,0.7027139001418629
2024-02-11 00:03:50,0.02700046,50.476,26.66182,0.7009152576737213
2024-02-11 00:18:51,0.02694823,50.0135,26.66545,0.6957442455772452
2024-02-11 00:33:51,0.027016349999999998,50.3095,26.70182,0.6971464186235807
2024-02-11 00:48:51,0.02692553,50.2765,26.72,0.6985634512300605
2024-02-11 01:03:51,0.026934609999999998,50.202,26.63273,0.6995780571740359
2024-02-11 01:18:51,0.0268733,50.579,26.74,0.7036057384205585
2024-02-11 01:33:51,0.026896,50.227,26.64,0.7007399211023935
2024-02-11 01:48:51,0.0268733,50.115,26.56364,0.7017795132372128
2024-02-11 02:03:51,0.027020890000000002,50.349,26.69273,0.6978141051595852
2024-02-11 02:18:51,0.026989100000000002,50.7205,26.70546,0.7034554490710477
2024-02-11 02:33:51,0.0269664,49.823,26.66182,0.6927214686575894
2024-02-11 02:48:51,0.02692553,50.6365,26.67455,0.7047642320100728
2024-02-11 03:03:51,0.026945959999999998,50.6675,26.72,0.7034624157123007
2024-02-11 03:18:51,0.02698229,50.4465,26.71637,0.6995460721314263
2024-02-11 03:33:51,0.02688919,50.0695,26.66364,0.6980999952372962
2024-02-11 03:48:51,0.02697094,49.8795,26.72909,0.691645208557427
2024-02-11 04:03:51,0.02697321,50.594,26.69818,0.7023058137199748
2024-02-11 04:18:51,0.02696185,50.2325,26.79818,0.6949784566762567
2024-02-11 04:33:51,0.027075389999999998,50.9585,26.82182,0.7014475595144378
2024-02-11 04:48:51,0.02702998,50.501,26.73455,0.6985908815712297
2024-02-11 05:03:51,0.0269664,50.7105,26.72,0.7035257601640962
2024-02-11 05:18:51,0.02696413,50.5785,26.70546,0.7021356228136636
2024-02-11 05:33:51,0.02695958,50.235,26.70182,0.6975798994375789
2024-02-11 05:48:51,0.026945959999999998,50.371,26.69273,0.7000603101087173
2024-02-11 06:03:51,0.02697548,50.146,26.73455,0.6950815712822858
2024-02-11 06:18:51,0.02700273,50.151,26.67818,0.6959167061539167
2024-02-11 06:33:51,0.026995909999999998,50.469,26.73091,0.6991245001601347
2024-02-11 06:48:51,0.026934609999999998,50.2,26.72909,0.6970282655512652
2024-02-11 07:03:51,0.02700727,50.526,26.74909,0.6991441965533541
2024-02-11 07:18:51,0.02701181,50.4225,26.66364,0.699830375691669
2024-02-11 07:33:51,0.027089009999999997,50.777,26.89637,0.6966614379041237
2024-02-11 07:48:51,0.02705495,50.9135,26.82727,0.7012151245781384
2024-02-11 08:03:51,0.02703906,50.521,26.70546,0.6993938727300619
2024-02-11 08:18:51,0.02703906,50.542,26.78546,0.6975948444167068
2024-02-11 08:33:51,0.02697094,50.481,26.70728,0.7005574315390042
2024-02-11 08:48:51,0.02693688,49.996,26.71455,0.6945150197165941
2024-02-11 09:03:51,0.02697775,50.4735,26.72728,0.699752517275837
2024-02-11 09:18:51,0.02695277,50.064,26.59636,0.6981383177902132
2024-02-11 09:33:51,0.02698002,50.3245,26.76182,0.6967277261438343
2024-02-11 09:48:51,0.02698683,50.423,26.77273,0.6976308658265242
2024-02-11 10:03:51,0.027016349999999998,51.0725,26.80364,0.7050309855319844
2024-02-11 10:18:51,0.0269119,50.46,26.70182,0.7019457669028079
2024-02-11 10:33:51,0.02692325,50.0955,26.66909,0.6974363393621205
2024-02-11 10:48:51,0.0275159,54.3595,27.81091,0.7100976392782994
2024-02-11 11:03:51,0.02777021,56.7515,28.6,0.7142885447817585
2024-02-11 11:18:51,0.02720255,51.763,27.11273,0.7015814693213744
2024-02-11 11:33:51,0.027413720000000003,52.9395,27.46545,0.7028565250967537
2024-02-11 11:48:51,0.02772253,54.8775,27.98727,0.7070375124096501
2024-02-11 12:03:51,0.0272911,52.3155,27.23637,0.7035608286953893
2024-02-11 12:18:51,0.02743188,53.7935,27.66909,0.7084690640885767
2024-02-11 12:33:51,0.02688465,49.458,26.47273,0.6946642843762343
2024-02-11 12:48:51,0.02686422,49.943,26.61273,0.6983168162405572
2024-02-11 13:03:51,0.026914169999999998,50.104,26.60364,0.6995067064342745
2024-02-11 13:18:51,0.026950500000000002,49.74,26.61636,0.6931573450440156
2024-02-11 13:33:51,0.02699818,50.098,26.73091,0.6939268528799385
2024-02-11 13:48:51,0.026868760000000002,50.422,26.67818,0.7031658700887952
2024-02-11 14:03:51,0.02696413,50.0605,26.65818,0.6961772259753756
2024-02-11 14:18:51,0.02695958,50.066,26.66364,0.6962286222861208
2024-02-11 14:33:51,0.02683924,49.8695,26.63273,0.6974139840297421
2024-02-11 14:48:51,0.02699137,49.994,26.71637,0.6930379955703458
2024-02-11 15:03:52,0.0268733,49.489,26.64,0.6910269655124179
2024-02-11 15:18:52,0.02698002,50.3685,26.68,0.6994754277043945
2024-02-11 15:33:52,0.0269119,50.1255,26.78546,0.695115200708644
2024-02-11 15:48:52,0.0269119,49.936,26.60364,0.6972200475303985
2024-02-11 16:03:52,0.026934609999999998,49.8705,26.67273,0.6939163167888878
2024-02-11 16:18:52,0.026950500000000002,49.905,26.66364,0.6942235363049614
2024-02-11 16:33:52,0.02697548,50.289,26.72182,0.6973957906912563
2024-02-11 16:48:52,0.02697094,49.6735,26.72728,0.6888353917348503
2024-02-11 17:03:52,0.027079930000000002,50.226,26.78364,0.6922341067743859
2024-02-11 17:18:52,0.02705722,50.5635,26.83636,0.6961004004485194
2024-02-11 17:33:52,0.0269664,50.392,26.70728,0.699440057343036
2024-02-11 17:48:52,0.02698002,50.516,26.70728,0.7008072163329067
