,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2024-02-11 00:10:27,73.21207,154.6562,273.468366604,179.94002731444562,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.74238136083439
1,2024-02-11 00:25:27,74.12917,157.0348,273.227504016,182.07692787687486,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.0338877999772
2,2024-02-11 00:40:27,72.89028,154.2761,273.727686486,179.31901494412958,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.8208835681564
3,2024-02-11 00:55:27,74.45631,158.4316,272.949624866,182.6944589847884,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.46736081403267
4,2024-02-11 01:10:27,74.37587,157.4078,273.07923382,182.58374021804013,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.00171280414182
5,2024-02-11 01:25:27,73.79129,155.7141,273.394231506,181.35762273001558,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.68002387549437
6,2024-02-11 01:40:27,72.80447,154.0293,273.579518264,179.0109610991991,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.83021466710015
7,2024-02-11 01:55:27,74.67085,159.8759,273.560958996,183.66704169847685,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.78270969034679
8,2024-02-11 02:10:27,73.41587,155.7353,273.394231506,180.3920091899273,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.09312951887605
9,2024-02-11 02:25:27,73.24425,155.0751,273.635094094,180.1288726486915,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.87288572931068
10,2024-02-11 02:40:27,72.21453,153.0907,273.949989806,177.74999021395092,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.88309171042404
11,2024-02-11 02:55:27,72.08582,153.2682,274.06124344,177.50523863938417,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.0834455729523
12,2024-02-11 03:10:27,72.18771,152.636,274.005565636,177.7200215260092,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.66206074361752
13,2024-02-11 03:25:27,73.30325,156.2902,272.560594056,179.56607769970066,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.74003873990875
14,2024-02-11 03:40:27,73.28179,155.8834,273.690669924,180.25779768790036,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.22728995290697
15,2024-02-11 03:55:27,71.86057,152.411,274.227868956,177.05816310432095,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.83971737455425
16,2024-02-11 04:10:27,71.03464,150.0823,275.524774288,175.78985575863896,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.16811336666967
17,2024-02-11 04:25:27,70.29453,148.6359,274.654018302,173.3351511144742,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.47787248997406
18,2024-02-11 04:40:27,71.17944,152.2505,275.043049112,175.84021719416324,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.27467666268542
19,2024-02-11 04:55:27,73.6733,155.7856,273.320198382,181.01860570774102,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.86357371184683
20,2024-02-11 05:10:27,71.42615,149.8129,273.875956682,175.70095408248628,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.06728115189252
21,2024-02-11 05:25:27,71.97319,152.2697,273.820380852,177.0721375485604,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.76040897320668
22,2024-02-11 05:40:27,72.89565,154.6051,273.616534826,179.25940498172977,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.01523884832038
23,2024-02-11 05:55:27,71.84984,152.1007,273.912973244,176.82843988883357,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.78141881217906
24,2024-02-11 06:10:27,73.51777,156.1296,273.301639114,180.62419575313896,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.21030364327868
25,2024-02-11 06:25:27,72.19844,153.3699,274.209411662,177.87867206979513,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.96978511457688
26,2024-02-11 06:40:27,71.15263,149.9802,273.171928186,174.57819393797348,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.65709366296983
27,2024-02-11 06:55:27,71.6085,151.7498,274.15383583199997,176.3894520499769,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.79528246614946
28,2024-02-11 07:10:27,72.02145,150.1151,274.079700734,177.35867678490354,21.00111111111111,2024-02-11,2024-02-11 21:10:31,77.52051341616628
29,2024-02-11 07:25:27,73.66794,156.0864,273.301639114,180.993145130633,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.02696341666655
30,2024-02-11 07:40:27,73.06727,155.0969,273.542501702,179.6328228888525,21.00111111111111,2024-02-11,2024-02-11 21:10:31,79.1018087814916
31,2024-02-11 07:55:27,71.94637,152.4869,274.005565636,177.12586290821838,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.8488306333878
32,2024-02-11 08:10:27,72.11263,152.215,273.857397414,177.43917896899433,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.56925464733109
33,2024-02-11 08:25:27,70.49833,149.0737,274.598442472,173.80251376286114,21.00111111111111,2024-02-11,2024-02-11 21:10:31,78.49737329336766
