,t,Q,P,h,Target,dt,tIn,tOff
0,2023-10-01 00:05:40,54.6771,115.7867,278.840968768,126.62440236869395,23.75,2023-10-31,2023-10-31 23:51:06
1,2023-10-01 00:20:40,51.02481,107.1653,280.730750936,119.60019796587954,23.75,2023-10-31,2023-10-31 23:51:06
2,2023-10-01 00:35:40,48.68112,103.8796,282.027554294,114.90661227273631,23.75,2023-10-31,2023-10-31 23:51:06
3,2023-10-01 00:50:40,49.31397,104.2945,281.249492674,116.07926042770272,23.75,2023-10-31,2023-10-31 23:51:06
4,2023-10-01 01:05:40,51.44849,106.8486,279.93402807399997,120.25104002630036,23.75,2023-10-31,2023-10-31 23:51:06
5,2023-10-01 01:20:40,53.09498,110.9467,280.02672244,123.68696843238708,23.75,2023-10-31,2023-10-31 23:51:06
6,2023-10-01 01:35:40,52.66056,111.6064,279.137407186,122.28537497444253,23.75,2023-10-31,2023-10-31 23:51:06
7,2023-10-01 01:50:40,48.53095,102.1799,281.58284568,114.37152303413123,23.75,2023-10-31,2023-10-31 23:51:06
8,2023-10-01 02:05:40,47.22771,100.6991,283.046478502,112.09774819942461,23.75,2023-10-31,2023-10-31 23:51:06
9,2023-10-01 02:20:40,48.06436,101.5494,281.08266321,113.18976705391373,23.75,2023-10-31,2023-10-31 23:51:06
10,2023-10-01 02:35:40,50.75129,105.2327,279.656148924,118.50371718512984,23.75,2023-10-31,2023-10-31 23:51:06
11,2023-10-01 02:50:40,51.27687,107.2552,280.563921472,120.11959119535062,23.75,2023-10-31,2023-10-31 23:51:06
12,2023-10-01 03:05:40,47.91419,100.9997,281.971978464,113.19312366073532,23.75,2023-10-31,2023-10-31 23:51:06
13,2023-10-01 03:20:40,46.84157,99.10642,282.231298346,110.86101779817731,23.75,2023-10-31,2023-10-31 23:51:06
14,2023-10-01 03:35:40,47.37788,100.6387,282.990902672,112.43210528742819,23.75,2023-10-31,2023-10-31 23:51:06
15,2023-10-01 03:50:40,49.81274,102.098,281.08266321,117.04773521337071,23.75,2023-10-31,2023-10-31 23:51:06
16,2023-10-01 04:05:40,51.1428,108.185,279.91557078,119.5286663358445,23.75,2023-10-31,2023-10-31 23:51:06
17,2023-10-01 04:20:40,51.35196,107.3861,280.80478406,120.39876770225938,23.75,2023-10-31,2023-10-31 23:51:06
18,2023-10-01 04:35:40,47.72112,100.2823,281.768132438,112.65551153111149,23.75,2023-10-31,2023-10-31 23:51:06
19,2023-10-01 04:50:40,48.42369,100.9165,281.656980778,114.26897788935804,23.75,2023-10-31,2023-10-31 23:51:06
20,2023-10-01 05:05:40,50.68693,105.7,280.87891915800003,118.8709265599386,23.75,2023-10-31,2023-10-31 23:51:06
21,2023-10-01 05:20:40,48.27888,101.2089,281.74967514400004,113.96475286392406,23.75,2023-10-31,2023-10-31 23:51:06
22,2023-10-01 05:35:40,46.99174,99.80445,282.00899502600004,111.1288274482591,23.75,2023-10-31,2023-10-31 23:51:06
23,2023-10-01 05:50:40,46.71285,100.0943,282.638888424,110.71603546082655,23.75,2023-10-31,2023-10-31 23:51:06
24,2023-10-01 06:05:40,47.8552,103.4438,281.54582911800003,112.88290469765714,23.75,2023-10-31,2023-10-31 23:51:06
25,2023-10-01 06:20:40,47.49051,103.6052,281.860826804,112.24934096302337,23.75,2023-10-31,2023-10-31 23:51:06
26,2023-10-01 06:35:40,49.95218,105.2695,281.36054236,117.49142270340879,23.75,2023-10-31,2023-10-31 23:51:06
27,2023-10-01 06:50:40,47.47978,103.7811,281.823810242,112.209241073242,23.75,2023-10-31,2023-10-31 23:51:06
28,2023-10-01 07:05:40,47.43687,103.6113,281.805250974,112.10044885373387,23.75,2023-10-31,2023-10-31 23:51:06
29,2023-10-01 07:20:40,49.22279,103.3501,282.379568542,116.33018392206795,23.75,2023-10-31,2023-10-31 23:51:06
30,2023-10-01 07:35:40,48.26279,101.6948,280.86035989,113.567172904048,23.75,2023-10-31,2023-10-31 23:51:06
31,2023-10-01 07:50:40,46.01028,99.01311,282.286874176,108.99697719282166,23.75,2023-10-31,2023-10-31 23:51:06
32,2023-10-01 08:05:40,47.97855,103.458,281.675540046,113.2260082969531,23.75,2023-10-31,2023-10-31 23:51:06
33,2023-10-01 08:20:40,45.10928,98.12044,282.47216093400004,106.99781296701008,23.75,2023-10-31,2023-10-31 23:51:06
34,2023-10-01 08:35:40,48.02682,103.2895,281.267949968,113.17591699762379,23.75,2023-10-31,2023-10-31 23:51:06
35,2023-10-01 08:50:40,46.92201,102.3491,281.95341919599997,110.94205806198649,23.75,2023-10-31,2023-10-31 23:51:06
36,2023-10-01 09:05:40,46.08537,99.67411,282.212841052,109.14623073751272,23.75,2023-10-31,2023-10-31 23:51:06
37,2023-10-01 09:20:40,49.61967,103.9551,280.712191668,116.44039512784916,23.75,2023-10-31,2023-10-31 23:51:06
