tempi,Portate,Potenze
12/01/2023 00:12:06,"66,67442","137,22"
12/01/2023 00:27:06,"66,88358","138,2511"
12/01/2023 00:42:06,"67,8114","139,6463"
12/01/2023 00:57:06,"66,07911","137,8225"
12/01/2023 01:12:06,"66,17028","137,1354"
12/01/2023 01:27:06,"67,45207","138,6745"
12/01/2023 01:42:06,"67,5057","140,3198"
12/01/2023 01:57:06,"67,37698","139,9539"
12/01/2023 02:12:06,"65,77877","138,0451"
12/01/2023 02:27:06,"66,98548","138,4099"
12/01/2023 02:42:06,"66,50816","137,5566"
12/01/2023 02:57:06,"66,94794","137,9107"
12/01/2023 03:12:06,"67,37162","139,639"
12/01/2023 03:27:06,"65,54279","137,5495"
12/01/2023 03:42:06,"67,17319","139,2468"
12/01/2023 03:57:06,"66,2561","138,4197"
12/01/2023 04:12:06,"65,98794","137,297"
12/01/2023 04:27:06,"66,40089","138,2718"
12/01/2023 04:42:06,"66,04156","137,4628"
12/01/2023 04:57:06,"65,8485","137,633"
12/01/2023 05:12:06,"66,68514","138,6301"
12/01/2023 05:27:06,"66,75486","138,4846"
12/01/2023 05:42:06,"65,76269","137,3536"
12/01/2023 05:57:06,"67,44671","140,4288"
12/01/2023 06:12:06,"66,07911","137,6324"
12/01/2023 06:27:06,"65,77877","137,2389"
12/01/2023 06:42:06,"65,96112","135,5475"
12/01/2023 06:57:06,"66,00403","135,3255"
12/01/2023 07:12:06,"65,5857","135,0018"
12/01/2023 07:27:06,"66,18637","136,8306"
12/01/2023 07:42:06,"10,39911","13,95043"
12/01/2023 07:57:06,"11,58436","17,33099"
12/01/2023 08:12:06,"30,41967","59,84378"
12/01/2023 08:27:06,"40,76514","91,89396"
12/01/2023 08:42:06,"47,21162","104,6933"
12/01/2023 08:57:06,"35,62727","78,21044"
12/01/2023 09:12:06,"68,07956","142,2316"
12/01/2023 09:27:06,"69,52224","141,7085"
12/01/2023 09:42:06,"69,54906","142,5538"
12/01/2023 09:57:06,"69,85475","143,4257"
12/01/2023 10:12:06,"68,38525","140,204"
12/01/2023 10:27:06,"67,36626","138,9001"
12/01/2023 10:42:06,"68,33163","139,2097"
12/01/2023 10:57:06,"67,97229","141,0402"
12/01/2023 11:12:06,"70,50906","144,2793"
12/01/2023 11:27:06,"69,35598","141,6114"
12/01/2023 11:42:06,"67,78995","139,811"
12/01/2023 11:57:06,"70,63241","144,6514"
12/01/2023 12:12:06,"67,49497","140,4642"
12/01/2023 12:27:06,"69,12","140,3262"
12/01/2023 12:42:06,"68,9323","139,9775"
12/01/2023 12:57:06,"68,85184","141,7873"
12/01/2023 13:12:06,"68,04202","140,0884"
12/01/2023 13:27:06,"68,18682","138,8598"
12/01/2023 13:42:06,"69,46861","141,0047"
12/01/2023 13:57:06,"67,75777","139,1656"
12/01/2023 14:12:06,"68,22436","140,9604"
12/01/2023 14:27:06,"68,73922","140,2805"
12/01/2023 14:42:06,"67,59151","139,1419"
12/01/2023 14:57:06,"68,25117","140,0708"
12/01/2023 15:12:06,"68,69632","141,1003"
12/01/2023 15:27:06,"68,36916","140,2633"
12/01/2023 15:42:06,"67,75777","139,6942"
12/01/2023 15:57:06,"67,37162","138,8828"
12/01/2023 16:12:06,"67,91866","138,1647"
12/01/2023 16:27:06,"67,33945","138,7822"
12/01/2023 16:42:06,"67,6666","140,0799"
12/01/2023 16:57:06,"66,65833","137,2189"
12/01/2023 17:12:06,"67,61296","137,4159"
12/01/2023 17:27:06,"66,00939","138,5194"
12/01/2023 17:42:06,"67,23754","138,3236"
