,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2024-02-10 21:40:27,35.9866,74.20378,285.028853062,91.58357986738689,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,73.7441170160699,0.0,0,0.0,736.9739718821052
1,2024-02-10 21:55:27,51.91508,117.2313,280.712191668,129.2392686839063,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,82.00111752120644,0.0,0,0.0,736.9739718821052
2,2024-02-10 22:10:27,49.49632,108.9041,281.02708738,123.87636089532401,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.80941543539163,0.0,0,0.0,736.9739718821052
3,2024-02-10 22:25:27,30.14615,64.4171,286.39979151800003,76.25777447376086,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,76.05497164189512,0.0,0,0.0,736.9739718821052
4,2024-02-10 22:40:27,85.97095,183.487,267.00260316,206.27646433898525,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,81.48338669087313,0.0,0,0.0,736.9739718821052
5,2024-02-10 22:55:27,72.73475,153.7155,274.54286664200004,179.46927716299456,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.46871491083431,0.0,0,0.0,736.9739718821052
6,2024-02-10 23:10:27,73.07263,153.2277,273.28307984599996,179.4756278013767,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.21693492515813,0.0,0,0.0,736.9739718821052
7,2024-02-10 23:25:27,72.80984,155.0036,273.875956682,179.21814731054124,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.23714028566702,0.0,0,0.0,736.9739718821052
8,2024-02-10 23:40:27,74.07017,156.6165,273.67211065600003,182.2280583825059,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.75798999980822,0.0,0,0.0,736.9739718821052
9,2024-02-10 23:55:27,73.9361,157.0678,273.431248068,181.73812711190328,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.19786425073906,0.0,0,0.0,736.9739718821052
10,2024-02-11 00:10:27,73.21207,154.6562,273.468366604,179.94002731444562,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.74238136083439,0.0,0,0.0,736.9739718821052
11,2024-02-11 00:25:27,74.12917,157.0348,273.227504016,182.07692787687486,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.0338877999772,0.0,0,0.0,736.9739718821052
12,2024-02-11 00:40:27,72.89028,154.2761,273.727686486,179.31901494412958,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.8208835681564,0.0,0,0.0,736.9739718821052
13,2024-02-11 00:55:27,74.45631,158.4316,272.949624866,182.6944589847884,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.46736081403267,0.0,0,0.0,736.9739718821052
14,2024-02-11 01:10:27,74.37587,157.4078,273.07923382,182.58374021804013,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.00171280414182,0.0,0,0.0,736.9739718821052
15,2024-02-11 01:25:27,73.79129,155.7141,273.394231506,181.35762273001558,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.68002387549437,0.0,0,0.0,736.9739718821052
16,2024-02-11 01:40:27,72.80447,154.0293,273.579518264,179.0109610991991,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.83021466710015,0.0,0,0.0,736.9739718821052
17,2024-02-11 01:55:27,74.67085,159.8759,273.560958996,183.66704169847685,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.78270969034679,0.0,0,0.0,736.9739718821052
18,2024-02-11 02:10:27,73.41587,155.7353,273.394231506,180.3920091899273,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,79.09312951887605,0.0,0,0.0,736.9739718821052
19,2024-02-11 02:25:27,73.24425,155.0751,273.635094094,180.1288726486915,23.50111111111111,2024-02-10 21:26:05.053745,2024-02-11 21:10:31,78.87288572931068,0.0,0,0.0,736.9739718821052
