t,Q,P,Bar,Eta
2024-02-10 17:55:27,0.07143687,150.7405,26.84108,0.785867058666595
2024-02-10 18:10:27,0.07119553,150.3177,26.86833,0.785521829352163
2024-02-10 18:25:27,0.07226279,153.2704,26.86288,0.7892826040884845
2024-02-10 18:40:27,0.07148515000000001,151.5778,26.88468,0.7884178214302224
2024-02-10 18:55:27,0.07075576,149.6061,26.91375,0.7853347685235387
2024-02-10 19:10:27,0.07210191,152.4599,26.96643,0.7838391356561062
2024-02-10 19:25:27,0.07246124000000001,153.6666,26.85379,0.7894228077094383
2024-02-10 19:40:27,0.07059486,149.7864,26.92465,0.787754282185351
2024-02-10 19:55:27,0.07049297,149.8568,26.77567,0.7936551461066996
2024-02-10 20:10:27,0.07136179,150.5424,26.97188,0.7818499613023053
2024-02-10 20:25:27,0.07137788,151.4761,26.88831,0.7889663872219098
2024-02-10 20:40:27,0.07168894,151.5931,26.88649,0.786203012242274
2024-02-10 20:55:27,0.03798705,79.15694,28.08012,0.7418156764558885
2024-02-10 21:10:27,0.030945260000000002,62.45045,27.98201,0.7209482071906013
2024-02-10 21:25:27,0.037772509999999995,84.84261,28.16551,0.7971904608321374
2024-02-10 21:40:27,0.0359866,74.20378,27.95113,0.7374411701606991
2024-02-10 21:55:27,0.05191508,117.2313,27.52782,0.8200111752120645
2024-02-10 22:10:27,0.049496319999999996,108.9041,27.5587,0.7980941543539164
2024-02-10 22:25:27,0.03014615,64.4171,28.08557,0.7605497164189514
2024-02-10 22:40:27,0.08597095,183.487,26.1834,0.8148338669087313
2024-02-10 22:55:27,0.07273475,153.7155,26.92283,0.7846871491083431
2024-02-10 23:10:27,0.07307263,153.2277,26.79929,0.7821693492515813
2024-02-10 23:25:27,0.07280984,155.0036,26.85743,0.79237140285667
2024-02-10 23:40:27,0.07407017,156.6165,26.83744,0.7875798999980822
2024-02-10 23:55:27,0.07393609999999999,157.0678,26.81382,0.7919786425073908
2024-02-11 00:10:27,0.07321206999999999,154.6562,26.81746,0.7874238136083439
2024-02-11 00:25:27,0.07412917000000001,157.0348,26.79384,0.790338877999772
2024-02-11 00:40:27,0.07289028,154.2761,26.84289,0.7882088356815641
2024-02-11 00:55:27,0.07445631,158.4316,26.76659,0.7946736081403268
2024-02-11 01:10:27,0.07437587000000001,157.4078,26.7793,0.7900171280414181
2024-02-11 01:25:27,0.07379129000000001,155.7141,26.81019,0.7868002387549438
2024-02-11 01:40:27,0.07280447,154.0293,26.82836,0.7883021466710014
2024-02-11 01:55:27,0.07467085,159.8759,26.82654,0.797827096903468
2024-02-11 02:10:27,0.07341587,155.7353,26.81019,0.7909312951887607
2024-02-11 02:25:27,0.07324425,155.0751,26.83381,0.7887288572931069
2024-02-11 02:40:27,0.07221453,153.0907,26.86469,0.7888309171042405
2024-02-11 02:55:27,0.07208582,153.2682,26.8756,0.7908344557295232
2024-02-11 03:10:27,0.07218771,152.636,26.87014,0.786620607436175
2024-02-11 03:25:27,0.07330325,156.2902,26.72844,0.7974003873990877
2024-02-11 03:40:27,0.07328179,155.8834,26.83926,0.7922728995290698
