t,Q,P,Bar,Eta
2024-02-10 18:00:00,1.9086,209.5838,1.4133,0.7766940342938102
2024-02-10 18:15:00,1.9081,210.202,1.4158,0.7778132585541344
2024-02-10 18:30:00,1.9104,210.1379,1.4155,0.7768045168552301
2024-02-10 18:45:00,1.908,210.108,1.4115,0.7798747751091778
2024-02-10 19:00:00,1.9092,210.294,1.4165,0.7773210251031523
2024-02-10 19:15:00,1.9087,209.7601,1.4173,0.7751128883049682
2024-02-10 19:30:00,1.9132,210.146,1.4149,0.7760264904445233
2024-02-10 19:45:00,1.9099,210.1391,1.4142,0.7777265833329858
2024-02-10 20:00:00,1.915,210.376,1.4127999999999998,0.7772992815794856
2024-02-10 20:15:00,1.9128,210.1708,1.4165999999999999,0.7753487914112666
2024-02-10 20:30:00,1.9182,210.1485,1.4134,0.7748343368876554
2024-02-10 20:45:00,1.9079,209.955,1.4178,0.7758846842881326
2024-02-10 21:00:00,1.9113,210.0542,1.4175,0.7750344010307495
2024-02-10 21:15:00,1.9092,210.0106,1.4141,0.7775909640100899
2024-02-10 21:30:00,1.9091,209.9239,1.4132,0.7778056924393577
2024-02-10 21:45:00,1.9121,209.7896,1.4162,0.7744445018395169
2024-02-10 22:00:00,1.9093,209.6392,1.417,0.7745866513581001
2024-02-10 22:15:00,1.906,210.0232,1.4151,0.7783927486885027
2024-02-10 22:30:00,1.9075,210.1509,1.4141,0.7788039093206607
2024-02-10 22:45:00,1.9109,210.5872,1.4205,0.7755223335582505
2024-02-10 23:00:00,1.9051,210.3939,1.4136,0.780962837088232
2024-02-10 23:15:00,1.911,210.3475,1.4145,0.7778847426915684
2024-02-10 23:30:00,1.9052,210.094,1.417,0.7779376025070496
2024-02-10 23:45:00,1.9066,210.3525,1.417,0.7783228424570308
2024-02-11 00:00:00,1.9072,210.2595,1.4169,0.7777888740445652
2024-02-11 00:15:00,1.9092,210.1227,1.4155,0.7772365418100712
2024-02-11 00:30:00,1.9062,210.0161,1.4172,0.7771315091437118
2024-02-11 00:45:00,1.9036,209.8615,1.4145,0.7791044093552456
2024-02-11 01:00:00,1.9073,210.2497,1.417,0.7776569599584904
2024-02-11 01:15:00,1.9081,210.3953,1.4171,0.7778143331620944
2024-02-11 01:30:00,1.9076,210.7268,1.4182000000000001,0.7786396495389881
2024-02-11 01:45:00,1.9113,210.622,1.4184999999999999,0.7765815527675249
2024-02-11 02:00:00,1.9088,210.4772,1.4149,0.7790411929212484
2024-02-11 02:15:00,1.9057,210.7174,1.4173,0.7798761074739706
2024-02-11 02:30:00,1.9021,210.1588,1.416,0.7799962568375932
2024-02-11 02:45:00,1.9113,209.3017,1.4088,0.7770269654168228
2024-02-11 03:00:00,1.9067,206.5589,1.4,0.7735262341620944
2024-02-11 03:15:00,1.8906,200.34,1.3807,0.7672028871583456
2024-02-11 03:30:00,1.8592,187.9499,1.3349,0.7570225087679745
2024-02-11 03:45:00,1.6603,136.7215,1.2328000000000001,0.6677273394191309
2024-02-11 04:00:00,1.2313,51.2205,1.0898999999999999,0.38153538219849903
2024-02-11 04:15:00,0.8604,24.1571,1.227,0.22873960675616814
2024-02-11 04:30:00,0.6617,22.2597,1.4849,0.22646573571437878
2024-02-11 04:45:00,0.6721,27.0494,1.5190000000000001,0.2648545903858024
2024-02-11 05:00:00,0.6719,26.472,1.5176999999999998,0.2595002116622963
