t,Q,P,Bar,Eta
2024-02-01 00:00:00,0.0371622,96.0222,30.4874,0.8472106068879451
2024-02-01 00:15:00,0.0297362,75.0745,30.7994,0.8194194357278665
2024-02-01 00:30:00,0.0307454,78.3469,30.8404,0.8259679672286087
2024-02-01 00:45:00,0.0482957,126.0439,29.9947,0.8697819328646564
2024-02-01 01:00:00,0.048034799999999996,123.4018,30.0827,0.8536704186935051
2024-02-01 01:15:00,0.0435872,114.0586,30.3924,0.8606877195156443
2024-02-01 01:30:00,0.047619,123.8611,30.1604,0.8621028922558375
2024-02-01 01:45:00,0.0487346,126.0687,30.2164,0.8557929119363078
2024-02-01 02:00:00,0.0390657,100.7797,30.5959,0.8428606044654425
2024-02-01 02:15:00,0.0329833,84.413,30.672,0.8340933759443885
2024-02-01 02:30:00,0.0387983,101.3589,30.4201,0.858479822385116
2024-02-01 02:45:00,0.0409857,104.3564,30.1977,0.8428579802289822
2024-02-01 03:00:00,0.0358474,92.4512,30.5475,0.8439578453423555
2024-02-01 03:15:00,0.0387333,100.9987,30.3004,0.8602495616441034
2024-02-01 03:30:00,0.0380823,96.075,30.4094,0.8293176519566989
2024-02-01 03:45:00,0.0395484,102.5896,30.2807,0.8563475220710292
2024-02-01 04:00:00,0.043441099999999996,112.5554,30.075,0.8611948487380443
2024-02-01 04:15:00,0.0432275,111.6939,30.2551,0.8537137587240878
2024-02-01 04:30:00,0.0443185,114.9691,30.423,0.8523845687445373
2024-02-01 04:45:00,0.03232,82.8492,30.9783,0.8271817104742692
2024-02-01 05:00:00,0.036801299999999995,97.057,30.7245,0.8580654518355961
2024-02-01 05:15:00,0.0409657,104.3718,30.5004,0.8350236878089052
2024-02-01 05:30:00,0.0375028,99.0944,30.65,0.8617801316826171
2024-02-01 05:45:00,0.046398499999999995,121.1788,30.3439,0.8603850309258024
2024-02-01 06:00:00,0.0367055,93.8764,30.6849,0.8331862757083361
2024-02-01 06:15:00,0.0238323,58.432,30.9773,0.791193608377759
2024-02-01 06:30:00,0.027625800000000002,70.9305,30.783,0.8337747773092196
2024-02-01 06:45:00,0.0354482,91.304,30.4948,0.844328336790387
2024-02-01 07:00:00,0.023439900000000003,56.4293,30.9768,0.7768799158827736
2024-02-01 07:15:00,0.025369700000000002,64.1427,30.7475,0.8219845084085915
2024-02-01 07:30:00,0.0286876,73.0176,30.6698,0.8295908071596594
2024-02-01 07:45:00,0.022122,51.7869,31.0121,0.7545810395244318
2024-02-01 08:00:00,0.018989799999999998,45.0154,31.1633,0.7603942423284314
2024-02-01 08:15:00,0.024145700000000003,60.773,30.9494,0.8129431547057445
