,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2024-02-10 21:30:00,19.4189,44.8768,314.64383622,26.364687186212354,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,74.87020465689382,0.0,0,0.0,352.18278375
1,2024-02-10 21:45:00,24.0127,59.9372,312.23113138,32.35161509643551,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,81.49111227840403,0.0,0,0.0,352.18278375
2,2024-02-10 22:00:00,31.6406,80.2641,308.94348962,86.79571153711066,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,83.70060068920161,0.0,0,0.0,352.18278375
3,2024-02-10 22:15:00,28.1941,70.3033,311.97721612000004,77.11481724805873,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,81.47522894342282,0.0,0,0.0,352.18278375
4,2024-02-10 22:30:00,22.4318,55.4243,313.78317566,30.371940979103773,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,80.26707389099941,0.0,0,0.0,352.18278375
5,2024-02-10 22:45:00,26.0801,65.711,312.46975054,70.78734803120088,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,82.1962181375404,0.0,0,0.0,352.18278375
6,2024-02-10 23:00:00,28.4645,72.107,311.68760996000003,77.78212749976569,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,82.84862814495048,0.0,0,0.0,352.18278375
7,2024-02-10 23:15:00,25.677,64.1004,313.13564076,69.84176269623201,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,81.26713507886582,0.0,0,0.0,352.18278375
8,2024-02-10 23:30:00,24.8076,61.8037,313.26616748,33.53335554729856,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,81.06758279345054,0.0,0,0.0,352.18278375
9,2024-02-10 23:45:00,28.3303,72.1344,311.68964944,77.41591897155715,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,83.27216622085093,0.0,0,0.0,352.18278375
10,2024-02-11 00:00:00,33.8822,87.0352,310.18247372,93.62059378202518,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,84.4183904311588,0.0,0,0.0,352.18278375
11,2024-02-11 00:15:00,34.7066,89.9928,311.34395758,96.37368140602038,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,84.89580779601955,0.0,0,0.0,352.18278375
12,2024-02-11 00:30:00,34.8023,89.8738,311.73349826000003,96.76033350121645,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,84.44475456047034,0.0,0,0.0,352.18278375
13,2024-02-11 00:45:00,35.209,91.2203,311.37353004,97.77803783049306,23.75,2024-02-10 21:26:13.329841,2024-02-11 21:15:00,84.81782040268322,0.0,0,0.0,352.18278375
