t,Q,P,Bar,Eta
2024-02-10 18:00:00,0.015518700000000002,33.6655,30.9202,0.701340590140293
2024-02-10 18:15:00,0.0146761,31.5451,30.9449,0.6943424221384841
2024-02-10 18:30:00,0.014702999999999999,31.5057,30.9329,0.6924749633442974
2024-02-10 18:45:00,0.0146669,31.4754,30.9182,0.693841484147135
2024-02-10 19:00:00,0.0146987,31.5222,30.9301,0.6931030460677176
2024-02-10 19:15:00,0.0146449,31.5048,30.9157,0.6955891026585717
2024-02-10 19:30:00,0.0146753,31.5869,30.9632,0.694889447967909
2024-02-10 19:45:00,0.0147127,31.934,31.1079,0.6974800414454468
2024-02-10 20:00:00,0.0223248,55.7381,30.8,0.8103178475318752
2024-02-10 20:15:00,0.0248891,60.5018,30.7661,0.7898201206190837
2024-02-10 20:30:00,0.014823000000000001,32.226,31.0484,0.6999590077063106
2024-02-10 20:45:00,0.0237061,58.8574,30.5244,0.8130839022265212
2024-02-10 21:00:00,0.0327838,81.967,29.8131,0.8383283425412057
2024-02-10 21:15:00,0.0312306,77.5896,30.188,0.8226789425520398
2024-02-10 21:30:00,0.0194189,44.8768,30.8553,0.7487020465689385
2024-02-10 21:45:00,0.024012699999999998,59.9372,30.6187,0.8149111227840404
2024-02-10 22:00:00,0.0316406,80.2641,30.2963,0.8370060068920161
2024-02-10 22:15:00,0.0281941,70.3033,30.5938,0.8147522894342282
2024-02-10 22:30:00,0.0224318,55.4243,30.7709,0.8026707389099942
2024-02-10 22:45:00,0.026080100000000002,65.711,30.6421,0.8219621813754042
2024-02-10 23:00:00,0.0284645,72.107,30.5654,0.8284862814495052
2024-02-10 23:15:00,0.025677,64.1004,30.7074,0.8126713507886583
2024-02-10 23:30:00,0.0248076,61.8037,30.7202,0.8106758279345054
2024-02-10 23:45:00,0.028330300000000003,72.1344,30.5656,0.8327216622085093
2024-02-11 00:00:00,0.033882199999999994,87.0352,30.4178,0.8441839043115881
2024-02-11 00:15:00,0.034706600000000004,89.9928,30.5317,0.8489580779601955
2024-02-11 00:30:00,0.0348023,89.8738,30.5699,0.8444475456047038
2024-02-11 00:45:00,0.035209000000000004,91.2203,30.5346,0.8481782040268322
2024-02-11 01:00:00,0.0391684,101.9634,30.3871,0.8563686492197501
2024-02-11 01:15:00,0.0381108,98.3647,30.4228,0.8480736340048393
2024-02-11 01:30:00,0.029775,75.3885,30.7009,0.8244109709047949
2024-02-11 01:45:00,0.027977699999999998,70.9455,30.6316,0.8275318161750604
2024-02-11 02:00:00,0.0327987,84.306,30.4429,0.8440290024571987
2024-02-11 02:15:00,0.0317888,80.9188,30.5354,0.8333227219750847
2024-02-11 02:30:00,0.0273031,68.547,30.69,0.8177511088837895
2024-02-11 02:45:00,0.031651599999999995,81.2932,30.5012,0.8417500718786811
2024-02-11 03:00:00,0.037874000000000005,96.9127,30.0952,0.8499312980295972
2024-02-11 03:15:00,0.035574,90.5681,30.3261,0.8392039724124098
2024-02-11 03:30:00,0.0281081,71.2167,30.7959,0.8224300922171496
2024-02-11 03:45:00,0.0398861,104.4888,30.1968,0.867218996846477
2024-02-11 04:00:00,0.050413,127.775,29.441,0.8605821373996375
2024-02-11 04:15:00,0.0510633,128.8601,29.3696,0.8589207445528739
2024-02-11 04:30:00,0.048593000000000004,123.3005,29.6193,0.8563629560686267
2024-02-11 04:45:00,0.038150500000000004,98.1405,30.4719,0.84389815061532
2024-02-11 05:00:00,0.0304836,78.867,30.7518,0.8410078758191099
2024-02-11 05:15:00,0.0408035,106.146,30.1932,0.8612685908230499
2024-02-11 05:30:00,0.0456173,115.3139,29.4229,0.8588318572416914
2024-02-11 05:45:00,0.0433885,109.5127,29.6313,0.8514922161372026
2024-02-11 06:00:00,0.0314977,78.871,30.5619,0.8190297783050917
2024-02-11 06:15:00,0.025236699999999997,63.4734,30.7438,0.8177926226071766
2024-02-11 06:30:00,0.0362002,93.1707,30.2235,0.8512657691376204
2024-02-11 06:45:00,0.0396541,100.9066,29.9492,0.8493521433014523
2024-02-11 07:00:00,0.0342936,86.9011,30.401,0.8332318531234033
2024-02-11 07:15:00,0.0244339,60.6464,30.774,0.8062501750787087
2024-02-11 07:30:00,0.029946,77.7742,30.6447,0.8471940474517614
2024-02-11 07:45:00,0.0393012,100.9033,30.2632,0.848059353205337
2024-02-11 08:00:00,0.0431439,111.1,29.652,0.8681248825255469
2024-02-11 08:15:00,0.0432985,109.3927,29.6337,0.8522581203485919
2024-02-11 08:30:00,0.0380718,96.1727,30.1286,0.8381292248160823
2024-02-11 08:45:00,0.0226222,55.071,30.9293,0.7867913406363325
2024-02-11 09:00:00,0.0282174,71.2701,30.3055,0.8331255574518805
2024-02-11 09:15:00,0.0315831,78.275,29.8006,0.8313518167806315
2024-02-11 09:30:00,0.0228241,53.7963,30.5611,0.7709590323738169
2024-02-11 09:45:00,0.0150472,32.6638,30.8956,0.7023537702293725
2024-02-11 10:00:00,0.0150105,32.6344,30.8963,0.7034213368436807
2024-02-11 10:15:00,0.0177632,41.4276,30.7694,0.7576891678790155
2024-02-11 10:30:00,0.023267399999999997,56.5515,30.4094,0.7989690551875647
2024-02-11 10:45:00,0.0178936,40.5001,30.7494,0.7358058939612874
2024-02-11 11:00:00,0.0151001,33.2215,30.8961,0.711831642705223
2024-02-11 11:15:00,0.018477399999999998,43.4623,30.6965,0.7659925079525101
2024-02-11 11:30:00,0.0193609,45.3821,30.7244,0.7626357742064505
2024-02-11 11:45:00,0.0167905,38.3794,30.8092,0.7416443079644479
2024-02-11 12:00:00,0.0218625,53.102,30.5915,0.7936916676524735
2024-02-11 12:15:00,0.019053999999999998,44.4276,30.808,0.7565623483501834
2024-02-11 12:30:00,0.0211085,51.4951,30.7029,0.7942745961399349
2024-02-11 12:45:00,0.0257301,63.3759,30.3614,0.810965557446229
2024-02-11 13:00:00,0.019027699999999998,43.9705,30.7897,0.7502589565945968
2024-02-11 13:15:00,0.0173454,40.8528,30.8161,0.7640140955923451
2024-02-11 13:30:00,0.026494800000000002,66.3033,30.1885,0.8286564247220009
2024-02-11 13:45:00,0.0254793,62.4725,30.4123,0.8059232130671113
2024-02-11 14:00:00,0.018221699999999997,43.3587,30.9623,0.7682378200793559
2024-02-11 14:15:00,0.031901900000000004,82.1755,30.2414,0.8514623533551127
2024-02-11 14:30:00,0.0353942,90.4225,30.0549,0.8497098638975371
2024-02-11 14:45:00,0.0360407,90.9411,29.7726,0.847211340356947
2024-02-11 15:00:00,0.029621099999999997,72.4697,30.2073,0.8096268639786225
2024-02-11 15:15:00,0.0150755,32.9845,30.9458,0.7067698312567962
2024-02-11 15:30:00,0.0181627,43.6653,30.8135,0.7799316508360497
2024-02-11 15:45:00,0.0314649,80.7758,30.1894,0.850045099265643
