,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2023-10-31 00:02:40,27.33424,52.191,271.547482366,63.70606325292386,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.67601091021318
1,2023-10-31 00:17:40,27.40009,51.9725,271.621617464,63.87696966426142,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.18496570805011
2,2023-10-31 00:32:40,27.39782,52.268,271.992496902,63.95888978547674,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.4980081548965
3,2023-10-31 00:47:40,27.37739,52.1195,272.400392902,64.0070419381689,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.2412385201708
4,2023-10-31 01:02:41,27.3456,52.294,272.196444902,63.88485156810841,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.61647642742119
5,2023-10-31 01:17:41,27.39555,52.126,272.641459438,64.10618112856933,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.13993607379918
6,2023-10-31 01:32:41,27.47048,52.128,272.641459438,64.28151895357972,15.750555555555556,2023-10-31,2023-10-31 15:47:42,70.94861294334316
7,2023-10-31 01:47:41,27.40236,52.194,272.400392902,64.06542061623851,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.27806094423255
8,2023-10-31 02:02:41,27.36149,52.213,272.585781634,64.01340474518588,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.36194810184125
9,2023-10-31 02:17:41,27.39101,52.2295,272.697035268,64.10862280839424,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.27847478129561
10,2023-10-31 02:32:41,27.35014,52.0495,272.01105617,63.85193973136509,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.31837580721984
11,2023-10-31 02:47:41,27.41826,52.258,272.103750536,64.0327867297718,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.40183265216102
12,2023-10-31 03:02:41,27.37966,52.293,272.08519126799996,63.93827872388079,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.55526497736315
13,2023-10-31 03:17:41,27.43188,52.067,272.32625780399997,64.11698247852458,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.04744382323005
14,2023-10-31 03:32:41,27.38647,52.166,272.27058,63.99775775975124,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.31514277536142
15,2023-10-31 03:47:41,27.52725,53.775,276.108575438,65.23350396531453,15.750555555555556,2023-10-31,2023-10-31 15:47:42,72.12215407241217
16,2023-10-31 04:02:41,27.78156,55.496,281.15159763400004,67.0386359500096,15.750555555555556,2023-10-31,2023-10-31 15:47:42,72.42616499044458
17,2023-10-31 04:17:41,27.802,55.411,281.31842709800003,67.12776753247985,15.750555555555556,2023-10-31,2023-10-31 15:47:42,72.21921459109554
18,2023-10-31 04:32:41,28.00863,56.2055,283.48772,68.14815493502279,15.750555555555556,2023-10-31,2023-10-31 15:47:42,72.15786763227163
19,2023-10-31 04:47:41,26.80518,49.8425,266.356088,61.27867133638189,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.16221450971094
20,2023-10-31 05:02:41,27.37739,52.143,272.548765072,64.0419055578813,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.23455992762032
21,2023-10-31 05:17:41,27.32062,51.8675,271.49190653600004,63.661288238095295,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.28183482956565
22,2023-10-31 05:32:41,27.3456,51.816,271.91825983,63.81956117814912,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.03445415041065
23,2023-10-31 05:47:41,27.35014,52.095,271.751430366,63.79099510866066,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.44891573108089
24,2023-10-31 06:02:41,27.32743,51.9495,272.06663199999997,63.811955764798604,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.22595707988161
25,2023-10-31 06:17:41,27.38874,52.3295,272.06663199999997,63.95512001434347,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.58635406171582
26,2023-10-31 06:32:41,27.35922,52.333,272.47452799999996,63.98196960615598,15.750555555555556,2023-10-31,2023-10-31 15:47:42,71.56109930634429
