,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2023-10-30 16:02:40,27.24342,51.725,270.360912902,63.21694647186034,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.58564822717076,-13.059971354166667,-15,-2.742593984375,263.2890225
1,2023-10-30 16:17:40,27.36149,52.0525,272.45596873200003,63.98291978816774,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.1764814609549,-13.059971354166667,-15,-2.742593984375,263.2890225
2,2023-10-30 16:32:40,27.32743,52.18,271.973937634,63.790214734892245,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.56636974015052,-13.059971354166667,-15,-2.742593984375,263.2890225
3,2023-10-30 16:47:40,27.35922,51.9395,271.009875438,63.638042574174996,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.40685881500498,-13.059971354166667,-15,-2.742593984375,263.2890225
4,2023-10-30 17:02:40,27.27521,51.4185,270.898621804,63.416589632202886,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,70.9374376421552,-13.059971354166667,-15,-2.742593984375,263.2890225
5,2023-10-30 17:17:40,27.35241,51.761,270.972756902,63.61348845339613,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.18892307744156,-13.059971354166667,-15,-2.742593984375,263.2890225
6,2023-10-30 17:32:40,27.34106,52.1625,271.67729526799997,63.75242036018225,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.58478047987472,-13.059971354166667,-15,-2.742593984375,263.2890225
7,2023-10-30 17:47:40,27.36149,51.6405,270.99131617,63.63896422049154,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,70.99476292437443,-13.059971354166667,-15,-2.742593984375,263.2890225
8,2023-10-30 18:02:40,27.3456,51.52,271.269399268,63.667272779574716,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,70.79760797328535,-13.059971354166667,-15,-2.742593984375,263.2890225
9,2023-10-30 18:17:40,27.36149,52.219,271.547482366,63.76957298370994,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.64304219338051,-13.059971354166667,-15,-2.742593984375,263.2890225
10,2023-10-30 18:32:40,27.37966,52.137,271.992496902,63.91649614107349,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.36611507295946,-13.059971354166667,-15,-2.742593984375,263.2890225
11,2023-10-30 18:47:40,27.41599,52.1705,271.732871098,63.940215417402264,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.38547950849788,-13.059971354166667,-15,-2.742593984375,263.2890225
12,2023-10-30 19:02:40,27.45005,52.2575,271.91825983,64.06332811561101,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.36710988575845,-13.059971354166667,-15,-2.742593984375,263.2890225
13,2023-10-30 19:17:40,27.3456,52.213,271.362093634,63.68902826508536,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.72540375768898,-13.059971354166667,-15,-2.742593984375,263.2890225
14,2023-10-30 19:32:40,27.3456,51.3695,270.954197634,63.59329455546764,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,70.67291274016516,-13.059971354166667,-15,-2.742593984375,263.2890225
15,2023-10-30 19:47:40,27.31154,51.381,270.546301634,63.4184721836004,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,70.88359808263445,-13.059971354166667,-15,-2.742593984375,263.2890225
16,2023-10-30 20:02:40,27.31381,51.445,271.269399268,63.593257852066714,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,70.77682465924067,-13.059971354166667,-15,-2.742593984375,263.2890225
17,2023-10-30 20:17:40,27.41826,52.0965,271.454788,63.88006968863787,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.35134152648882,-13.059971354166667,-15,-2.742593984375,263.2890225
18,2023-10-30 20:32:40,27.25704,51.9635,271.009875438,63.400370038546086,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.70766481810821,-13.059971354166667,-15,-2.742593984375,263.2890225
19,2023-10-30 20:47:40,27.35922,51.8275,270.86150326800004,63.60320209297105,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.29191109088119,-13.059971354166667,-15,-2.742593984375,263.2890225
20,2023-10-30 21:02:40,27.36603,51.837,271.10256980400004,63.67565449696246,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.22384560643617,-13.059971354166667,-15,-2.742593984375,263.2890225
21,2023-10-30 21:17:40,27.40691,52.104,271.695854536,63.910331515624115,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.3278234806616,-13.059971354166667,-15,-2.742593984375,263.2890225
22,2023-10-30 21:32:40,27.34787,52.125,271.67729526799997,63.76829955369754,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.5155048703888,-13.059971354166667,-15,-2.742593984375,263.2890225
23,2023-10-30 21:47:40,27.37739,52.3695,272.140767098,63.946036593984836,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.65125024113148,-13.059971354166667,-15,-2.742593984375,263.2890225
24,2023-10-30 22:02:40,27.34333,51.9345,271.213721464,63.648921095473874,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.3877814830041,-13.059971354166667,-15,-2.742593984375,263.2890225
25,2023-10-30 22:17:40,27.31381,52.044,271.51036383,63.64974679466706,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.53736923493541,-13.059971354166667,-15,-2.742593984375,263.2890225
26,2023-10-30 22:32:40,27.37057,52.204,271.640176732,63.81251047622487,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.57427003178769,-13.059971354166667,-15,-2.742593984375,263.2890225
27,2023-10-30 22:47:40,27.36149,51.901,271.65873600000003,63.79569952582057,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.17759325095454,-13.059971354166667,-15,-2.742593984375,263.2890225
28,2023-10-30 23:02:40,27.33651,51.9645,271.362093634,63.667857280834525,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.40777416345693,-13.059971354166667,-15,-2.742593984375,263.2890225
29,2023-10-30 23:17:40,27.31608,51.928,271.454788,63.64200696982255,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.38660141897749,-13.059971354166667,-15,-2.742593984375,263.2890225
30,2023-10-30 23:32:40,27.23888,52.119,271.547482366,63.48381415465741,23.750555555555554,2023-10-30 15:54:34.600759,2023-10-31 15:47:42,71.82771321084307,-13.059971354166667,-15,-2.742593984375,263.2890225
