,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2023-10-31 00:06:06,70.11755,147.517,274.13527656400004,172.57219097332643,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.23145470749428
1,2023-10-31 00:21:06,71.38324,149.0876,273.727686486,175.50033656875806,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.77813642629495
2,2023-10-31 00:36:06,70.18726,148.0432,274.15383583199997,172.75545505652968,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.42722367987503
3,2023-10-31 00:51:05,71.36179,150.44,273.635094094,175.38825263321561,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.53383158475452
4,2023-10-31 01:06:05,69.91911,147.0834,274.246428224,172.15356720257617,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.19118258465144
5,2023-10-31 01:21:06,68.75531,145.1289,274.83930505999996,169.56674945273778,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.28883129195387
6,2023-10-31 01:36:06,71.13654,149.7462,273.764805022,174.91752485820086,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.38201979103138
7,2023-10-31 01:51:06,70.36961,147.6715,274.005565636,173.11060853509582,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.06981504680799
8,2023-10-31 02:06:06,69.57587,146.3754,274.376139152,171.3894720149131,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.16171882191276
9,2023-10-31 02:21:05,71.43687,150.4856,273.616534826,175.56087105158701,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.48039505656563
10,2023-10-31 02:36:06,71.35107,150.0085,273.635094094,175.36190573148818,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.32034199375028
11,2023-10-31 02:51:06,70.34816,148.366,274.042684172,173.08128463355217,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.4502668874697
12,2023-10-31 03:06:06,70.40715,147.6884,274.098260002,173.2615511401756,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.01072868818703
13,2023-10-31 03:21:06,70.20872,146.8683,274.172293126,172.81990988650327,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.77579173822389
14,2023-10-31 03:36:06,70.10682,146.7849,274.11681927,172.53416510904884,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.86036259035714
15,2023-10-31 03:51:06,25.86637,49.24817,287.67813758200003,64.63693481095368,15.499722222222223,2023-10-31,2023-10-31 15:36:05,67.46503436361225
16,2023-10-31 04:06:05,12.85542,20.44331,291.90210461000004,16.192066001251845,15.499722222222223,2023-10-31,2023-10-31 15:36:05,55.533968625148276
17,2023-10-31 04:21:05,7.299221,3.801718,289.734545266,9.125476724223908,15.499722222222223,2023-10-31,2023-10-31 15:36:05,18.324582940309458
18,2023-10-31 04:36:06,0.0,5.79858,292.01325627,0.0,15.499722222222223,2023-10-31,2023-10-31 15:36:05,inf
19,2023-10-31 04:51:06,72.09118,148.9046,273.28307984599996,177.01439515780606,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.04495915945667
20,2023-10-31 05:06:06,69.68849,147.2068,273.468366604,171.09893474077737,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.73914844444703
21,2023-10-31 05:21:06,72.00536,149.9071,273.41279077400003,176.88758868729354,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.6192677643149
22,2023-10-31 05:36:05,71.12045,148.4546,273.801821584,174.90160695750998,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.71302650914245
23,2023-10-31 05:51:06,69.83866,147.1655,274.13527656400004,171.88579137236275,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.35670760651351
24,2023-10-31 06:06:06,70.54659,147.8018,273.968549074,173.59599705761346,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.9532057545503
25,2023-10-31 06:21:06,68.95374,145.4678,274.50585008,169.84980003157386,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.34087756732727
26,2023-10-31 06:36:06,69.37207,145.8027,274.431714982,170.8340991756843,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.06881831710275
27,2023-10-31 06:51:06,69.00201,145.3393,274.56142591,170.00311223557503,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.20108764406126
28,2023-10-31 07:06:06,69.37743,145.7588,274.487290812,170.8818972905566,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.02348204264129
29,2023-10-31 07:21:06,70.44469,148.0391,274.042684172,173.3187824786369,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.17015152627032
30,2023-10-31 07:36:05,70.19799,147.2286,274.15383583199997,172.78186534855075,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.98376006139065
31,2023-10-31 07:51:06,70.6914,150.1539,274.635561008,174.375844637144,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.83957161513737
32,2023-10-31 08:06:06,71.07755,148.3844,273.857397414,174.83158577021646,15.499722222222223,2023-10-31,2023-10-31 15:36:05,77.7073880618986
33,2023-10-31 08:21:06,68.51397,144.9879,274.802288498,168.9487904780419,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.49884629440903
34,2023-10-31 08:36:05,68.17073,144.1642,274.913440158,168.06802107087813,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.41416132789301
35,2023-10-31 08:51:06,68.48179,144.6818,274.802288498,168.7666454480386,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.36992789122607
36,2023-10-31 09:06:06,69.58659,146.1968,274.376139152,171.41587908880237,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.05432344131933
37,2023-10-31 09:21:06,69.76894,147.0112,274.227868956,171.77219610122737,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.32631622774396
38,2023-10-31 09:36:05,68.69096,144.5388,274.802288498,169.38523061465503,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.05406150838137
39,2023-10-31 09:51:06,69.76894,146.7875,274.209411662,171.76063473098245,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.212394967232
40,2023-10-31 10:06:05,69.36671,146.1089,274.357579884,170.77475413110707,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.25995677070573
41,2023-10-31 10:21:06,68.67487,144.7634,275.30247096799997,169.6537892175201,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.05160030225154
42,2023-10-31 10:36:06,69.50615,146.1225,274.431714982,171.2524082399457,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.08912448376516
43,2023-10-31 10:51:05,69.24872,145.9652,274.468833518,170.55340549190572,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.2844549983998
44,2023-10-31 11:06:06,69.35598,146.0997,274.431714982,170.7944763036014,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.24599264394188
45,2023-10-31 11:21:06,67.90257,143.7934,274.968914014,167.4406802609112,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.50550922938993
46,2023-10-31 11:36:05,68.00983,144.8807,275.17276004,167.8294991738353,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.91587914885201
47,2023-10-31 11:51:06,69.25945,145.9236,274.431714982,170.55676369687902,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.26060301756705
48,2023-10-31 12:06:06,69.4847,146.0252,274.50585008,171.15768340127602,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.04013487290227
49,2023-10-31 12:21:06,68.78749,145.2787,274.654018302,169.53174359629145,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.38582211616435
50,2023-10-31 12:36:06,69.0771,145.5728,274.61700174,170.2225635052339,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.22574540124873
51,2023-10-31 12:51:06,68.78749,144.9676,274.69113683800003,169.5546552222226,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.20739715527549
52,2023-10-31 13:06:06,68.2619,144.4342,274.83930505999996,168.2474084380115,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.47725773559529
53,2023-10-31 13:21:06,67.2429,144.2607,275.209878576,165.8443298061406,15.499722222222223,2023-10-31,2023-10-31 15:36:05,79.46366178525264
54,2023-10-31 13:36:05,67.29118,143.5486,275.246895138,165.98572762348965,15.499722222222223,2023-10-31,2023-10-31 15:36:05,79.00405472177273
55,2023-10-31 13:51:06,68.6695,144.8661,274.7281534,169.286630524597,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.27637566573821
56,2023-10-31 14:06:06,68.70168,144.5463,274.654018302,169.32025864578668,15.499722222222223,2023-10-31,2023-10-31 15:36:05,78.08806431238537
57,2023-10-31 14:21:06,66.69587,144.2315,275.543333556,164.6944726959071,15.499722222222223,2023-10-31,2023-10-31 15:36:05,80.00226127542604
