,t,Q,P,h,Target,dt,tIn,tOff
0,2023-06-17 00:04:09,68.83039,139.4615,275.35804679800003,159.7727489361969,17.5,2023-07-31,2023-07-31 17:30:35
1,2023-06-17 00:19:09,68.65341,140.8767,275.71006104599996,159.56565986356037,17.5,2023-07-31,2023-07-31 17:30:35
2,2023-06-17 00:34:09,69.24872,140.0409,275.654485216,160.91684843791978,17.5,2023-07-31,2023-07-31 17:30:35
3,2023-06-17 00:49:09,68.56224,142.1226,275.487757726,159.225274731233,17.5,2023-07-31,2023-07-31 17:30:35
4,2023-06-17 01:04:09,69.49542,137.6994,275.82121270600004,161.5877940978238,17.5,2023-07-31,2023-07-31 17:30:35
5,2023-06-17 01:19:09,67.83822,140.1626,275.543333556,157.47971409684703,17.5,2023-07-31,2023-07-31 17:30:35
6,2023-06-17 01:34:09,70.5305,138.7093,276.09909185600003,164.313787904616,17.5,2023-07-31,2023-07-31 17:30:35
7,2023-06-17 01:49:09,19.48425,145.1549,275.191319308,20.8636477507179,17.5,2023-07-31,2023-07-31 17:30:35
8,2023-06-17 02:04:09,34.14168,35.46181,288.326488274,81.4757479664392,17.5,2023-07-31,2023-07-31 17:30:35
9,2023-06-17 02:19:09,65.40336,73.70614,285.584611362,156.99806897686523,17.5,2023-07-31,2023-07-31 17:30:35
10,2023-06-17 02:34:09,61.04313,140.3094,275.784196144,140.99839697721393,17.5,2023-07-31,2023-07-31 17:30:35
11,2023-06-17 02:49:09,58.3562,136.8703,277.37743792000003,135.07921362223132,17.5,2023-07-31,2023-07-31 17:30:35
12,2023-06-17 03:04:09,49.37296,129.8917,279.230101552,115.38366168037376,17.5,2023-07-31,2023-07-31 17:30:35
13,2023-06-17 03:19:09,73.78056,111.4767,281.694099314,175.52143379904732,17.5,2023-07-31,2023-07-31 17:30:35
14,2023-06-17 03:34:09,73.6143,149.0272,273.820380852,170.23090881404028,17.5,2023-07-31,2023-07-31 17:30:35
15,2023-06-17 03:49:09,73.26034,150.2854,273.727686486,169.3147336954727,17.5,2023-07-31,2023-07-31 17:30:35
16,2023-06-17 04:04:09,69.56514,147.0176,274.56142591,161.0940261417636,17.5,2023-07-31,2023-07-31 17:30:35
17,2023-06-17 04:19:09,69.08782,145.0896,275.11718421,160.23002916413532,17.5,2023-07-31,2023-07-31 17:30:35
18,2023-06-17 04:34:09,70.95419,141.2576,275.524774288,164.9570071768943,17.5,2023-07-31,2023-07-31 17:30:35
19,2023-06-17 04:49:09,70.32671,143.4825,274.69113683800003,162.93455477869963,17.5,2023-07-31,2023-07-31 17:30:35
20,2023-06-17 05:04:09,72.90101,139.4145,275.376606066,169.49921199338237,17.5,2023-07-31,2023-07-31 17:30:35
21,2023-06-17 05:19:09,68.67487,149.7204,274.376139152,158.8432964639906,17.5,2023-07-31,2023-07-31 17:30:35
22,2023-06-17 05:34:09,73.39442,139.8148,275.89524583,170.9678124343615,17.5,2023-07-31,2023-07-31 17:30:35
23,2023-06-17 05:49:09,69.9781,148.2912,274.302004054,161.89721494779855,17.5,2023-07-31,2023-07-31 17:30:35
24,2023-06-17 06:04:09,73.26034,143.5804,275.635925948,170.49507851365118,17.5,2023-07-31,2023-07-31 17:30:35
25,2023-06-17 06:19:09,74.5314,148.8342,274.227868956,172.64181065714573,17.5,2023-07-31,2023-07-31 17:30:35
26,2023-06-17 06:34:09,70.44469,153.7151,274.56142591,163.13082576141488,17.5,2023-07-31,2023-07-31 17:30:35
27,2023-06-17 06:49:09,70.09073,143.5512,275.22833587,162.70540418863968,17.5,2023-07-31,2023-07-31 17:30:35
28,2023-06-17 07:04:09,72.41833,140.4113,275.00603255,168.10225143263426,17.5,2023-07-31,2023-07-31 17:30:35
29,2023-06-17 07:19:09,76.67665,145.4627,274.487290812,177.81411048020996,17.5,2023-07-31,2023-07-31 17:30:35
30,2023-06-17 07:34:09,69.19508,158.9414,273.320198382,159.43058796662444,17.5,2023-07-31,2023-07-31 17:30:35
31,2023-06-17 07:49:09,72.82056,142.1775,275.33948753,169.28933901987094,17.5,2023-07-31,2023-07-31 17:30:35
32,2023-06-17 08:04:09,70.91665,148.2119,273.949989806,163.92740625136412,17.5,2023-07-31,2023-07-31 17:30:35
33,2023-06-17 08:19:09,71.22235,142.2734,274.654018302,165.05714288202745,17.5,2023-07-31,2023-07-31 17:30:35
34,2023-06-17 08:34:09,68.32626,143.8383,274.709594132,158.13272026611716,17.5,2023-07-31,2023-07-31 17:30:35
35,2023-06-17 08:49:09,69.10391,141.3097,275.82121270600004,160.67747170150994,17.5,2023-07-31,2023-07-31 17:30:35
36,2023-06-17 09:04:09,71.82302,139.137,275.543333556,167.04611297722795,17.5,2023-07-31,2023-07-31 17:30:35
37,2023-06-17 09:19:09,71.25989,143.9228,274.431714982,165.01047480714635,17.5,2023-07-31,2023-07-31 17:30:35
38,2023-06-17 09:34:09,73.96827,143.2443,274.931897452,171.74379355775568,17.5,2023-07-31,2023-07-31 17:30:35
39,2023-06-17 09:49:09,68.18682,151.1406,274.913440158,157.92710517920818,17.5,2023-07-31,2023-07-31 17:30:35
40,2023-06-17 10:04:09,73.81274,140.4093,275.802653438,171.92547305968154,17.5,2023-07-31,2023-07-31 17:30:35
41,2023-06-17 10:19:09,70.77721,150.3989,274.079700734,163.682548056363,17.5,2023-07-31,2023-07-31 17:30:35
42,2023-06-17 10:34:09,70.42324,141.8651,275.154200772,163.4332436458714,17.5,2023-07-31,2023-07-31 17:30:35
43,2023-06-17 10:49:09,69.67241,139.1859,274.857864328,161.51663257622806,17.5,2023-07-31,2023-07-31 17:30:35
44,2023-06-17 11:04:09,71.37788,141.8737,275.30247096799997,165.80812984699068,17.5,2023-07-31,2023-07-31 17:30:35
45,2023-06-17 11:19:09,70.25699,144.8547,274.56142591,162.69616339019265,17.5,2023-07-31,2023-07-31 17:30:35
46,2023-06-17 11:34:09,69.68313,141.3142,275.09862494199996,161.68298559335796,17.5,2023-07-31,2023-07-31 17:30:35
47,2023-06-17 11:49:09,66.51352,139.6533,275.2839117,154.1523084433396,17.5,2023-07-31,2023-07-31 17:30:35
48,2023-06-17 12:04:09,71.35643,139.5403,276.432546836,166.43871558431724,17.5,2023-07-31,2023-07-31 17:30:35
49,2023-06-17 12:19:09,68.10637,146.0087,274.968914014,157.77260537184142,17.5,2023-07-31,2023-07-31 17:30:35
50,2023-06-17 12:34:09,70.50906,138.6089,275.802653438,164.08747485177366,17.5,2023-07-31,2023-07-31 17:30:35
51,2023-06-17 12:49:09,67.35017,142.9452,275.00603255,155.93377282332645,17.5,2023-07-31,2023-07-31 17:30:35
52,2023-06-17 13:04:09,69.16827,138.854,275.524774288,160.65427014046108,17.5,2023-07-31,2023-07-31 17:30:35
53,2023-06-17 13:19:09,69.0771,143.2822,274.579883204,159.89228806957107,17.5,2023-07-31,2023-07-31 17:30:35
54,2023-06-17 13:34:09,67.94012,139.3468,275.524774288,157.7056418564887,17.5,2023-07-31,2023-07-31 17:30:35
55,2023-06-17 13:49:09,68.08492,136.8194,275.913805098,158.26490721375015,17.5,2023-07-31,2023-07-31 17:30:35
56,2023-06-17 14:04:09,70.27844,137.4447,275.72851834,163.43762790905808,17.5,2023-07-31,2023-07-31 17:30:35
57,2023-06-17 14:19:09,66.29363,141.1437,275.265454406,153.51416853500837,17.5,2023-07-31,2023-07-31 17:30:35
58,2023-06-17 14:34:09,70.45542,138.1464,276.617833594,164.37767542343636,17.5,2023-07-31,2023-07-31 17:30:35
59,2023-06-17 14:49:09,70.8362,143.9707,274.89488089,164.30620871554822,17.5,2023-07-31,2023-07-31 17:30:35
60,2023-06-17 15:04:09,68.92693,143.3681,275.080167648,159.8353809701665,17.5,2023-07-31,2023-07-31 17:30:35
61,2023-06-17 15:19:09,9.594639,137.8177,275.83977197400003,10.298105631411293,17.5,2023-07-31,2023-07-31 17:30:35
62,2023-06-17 15:34:09,27.33051,13.31057,291.605666192,64.63734712049728,17.5,2023-07-31,2023-07-31 17:30:35
63,2023-06-17 15:49:09,11.2143,64.31872,285.76989812,12.469828141236043,17.5,2023-07-31,2023-07-31 17:30:35
64,2023-06-17 16:04:09,35.67553,13.9888,291.698360558,86.33140071283749,17.5,2023-07-31,2023-07-31 17:30:35
65,2023-06-17 16:19:09,56.55956,74.74972,287.715154144,135.62359343712174,17.5,2023-07-31,2023-07-31 17:30:35
66,2023-06-17 16:34:09,91.08738,119.2689,281.08266321,214.9540704628849,17.5,2023-07-31,2023-07-31 17:30:35
67,2023-06-17 16:49:09,69.67241,193.4422,264.631299764,155.50712553432822,17.5,2023-07-31,2023-07-31 17:30:35
