Unnamed: 0,x__TimeStamp,Local,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO,PLC1_AI_FT_PORT_COND,PLC1_AI_PT_TURBINA_OUT,PLC1_AI_LT_SCAR_C
0.0,2023-02-03 15:15:00,03/02/2023 16:15:00,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.0,2023-03-02 15:15:00,02/03/2023 16:15:00,0.0,0.0,0.0,0.0,0.0,0.0,,,
2.0,2023-03-02 15:30:00,02/03/2023 16:30:00,1.3699,0.0096,0.0,0.0,0.0,0.3312,,,
3.0,2023-03-02 15:45:00,02/03/2023 16:45:00,1.3697,0.0116,0.0,0.0,0.0,0.313,,,
4.0,2023-03-02 16:00:00,02/03/2023 17:00:00,1.3685,0.0112,0.0,0.0542,0.0,0.3353,,,
5.0,2023-03-02 16:15:00,02/03/2023 17:15:00,1.3685,0.0759,0.0,0.0029,0.0,0.2742,,,
6.0,2023-03-02 16:30:00,02/03/2023 17:30:00,1.3694,0.0555,0.0,0.003,0.0,0.302,,,
7.0,2023-03-02 16:45:00,02/03/2023 17:45:00,1.3701,0.0482,0.0,0.0029,0.0,0.3257,,,
8.0,2023-03-02 17:00:00,02/03/2023 18:00:00,1.3687,0.0481,0.0,0.0029,0.0,0.314,,,
9.0,2023-03-02 17:15:00,02/03/2023 18:15:00,1.3694,0.0483,0.0,0.0029,0.0,0.29,,,
10.0,2023-03-02 17:30:00,02/03/2023 18:30:00,1.3696,0.0483,0.0,0.0028,0.0,0.3404,,,
11.0,2023-03-02 17:45:00,02/03/2023 18:45:00,1.3702,0.0483,0.0,0.0029,0.0,0.3163,,,
12.0,2023-03-02 18:00:00,02/03/2023 19:00:00,1.3695,0.0483,0.0,0.0029,0.0,0.2828,,,
13.0,2023-03-02 18:15:00,02/03/2023 19:15:00,1.3706,0.0484,0.0,0.0029,0.0,0.276,,,
14.0,2023-03-02 18:30:00,02/03/2023 19:30:00,1.3703,0.048,0.0,0.0029,0.0,0.2858,,,
15.0,2023-03-02 18:45:00,02/03/2023 19:45:00,1.3707,0.0487,0.0,0.0028,0.0,0.3208,,,
