LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINA;PLC1_AI_PT_LINEA;PLC1_AI_POT_ATTIVA;PLC1_AI_POS_GETTO2;PLC1_AI_LT_BACINO;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];;;;;;;;;;;;;;
22/03/2023;21/03/2023 23:00:00;1,89746;6,67877;32,4031;33,1163;0;0;44,0762;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 00:15:00;21/03/2023 23:15:00;16,1083;16,5314;31,6088;32,322;39,2076;0;37,6151;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 00:30:00;21/03/2023 23:30:00;14,5061;14,5103;31,6233;32,3655;31,398;0;30,0352;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 00:45:00;21/03/2023 23:45:00;0,614113;0,2;32,5203;33,2277;0;0;37,2467;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 01:00:00;22/03/2023;14,9189;14,5103;31,6797;32,39;31,554;0;24,3896;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 01:15:00;22/03/2023 00:15:00;0,744901;0,2;32,4595;33,1467;0;0;43,3475;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 01:30:00;22/03/2023 00:30:00;0,781684;0,2;32,5477;33,2321;0;0;43,8107;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 01:45:00;22/03/2023 00:45:00;14,8127;15,859;31,6638;32,3669;34,8036;0;37,8942;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/03/2023 02:00:00;22/03/2023 01:00:00;14,2527;14,1068;31,7433;32,4624;30,7248;0;32,9502;0;0;0;0;0;0;0;0;0;0;0;0;0;0
