,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2023-11-07 00:00:00.007,0.0,-0.4736,7.3258427522,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
1,2023-11-07 00:15:00.010,0.0,-0.4672,7.3510099354000005,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
2,2023-11-07 00:30:00.010,0.0,-0.464,7.2621803840000005,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
3,2023-11-07 00:45:00.007,0.0,-0.4752,7.2769870088,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
4,2023-11-07 01:00:00.010,0.0,-0.4848,7.370262626600001,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
5,2023-11-07 01:15:00.013,0.0,-0.488,7.426521682400001,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
6,2023-11-07 01:30:00.003,0.0,-0.472,7.4013544992,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
7,2023-11-07 01:45:00.013,0.0,-0.496,7.4072791886,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
8,2023-11-07 02:00:00.007,0.0,-0.4784,7.225163822,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
9,2023-11-07 02:15:00.007,0.0,-0.4864,7.376187316,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
10,2023-11-07 02:30:00.013,0.0,-0.4768,7.225163822,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
11,2023-11-07 02:45:00.013,0.0,-0.464,7.331767441599999,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
12,2023-11-07 03:00:00.003,0.0,-0.472,7.2695836964,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
13,2023-11-07 03:15:00.013,0.0,-0.4896,7.370262626600001,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
14,2023-11-07 03:30:00.007,0.0,-0.5056,7.3258427522,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
15,2023-11-07 03:45:00.007,0.0,-0.472,7.376187316,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
16,2023-11-07 04:00:00.007,0.0,-0.4864,7.2873475672,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
17,2023-11-07 04:15:00.010,0.0,-0.4688,7.376187316,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
18,2023-11-07 04:30:00.010,0.0,-0.4624,7.300675569,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
19,2023-11-07 04:45:00.013,0.0,-0.4864,7.377665939000001,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
20,2023-11-07 05:00:00.003,0.0,-0.4704,7.3287999982,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
21,2023-11-07 05:15:00.007,0.0,-0.4816,7.275508385799999,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
22,2023-11-07 05:30:00.007,0.0,-0.4928,7.324364129199999,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
23,2023-11-07 05:45:00.007,0.0,-0.4784,7.275508385799999,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
24,2023-11-07 06:00:00.010,0.0,-0.4656,7.433924994800001,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
25,2023-11-07 06:15:00.017,0.0,-0.4976,7.3746984956,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
26,2023-11-07 06:30:00.010,0.0,-0.4768,7.3258427522,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
27,2023-11-07 06:45:00.007,0.0,-0.4656,7.4280003053999994,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
28,2023-11-07 07:00:00.003,0.0,-0.4928,7.2814228778,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
29,2023-11-07 07:15:00.013,0.0,-0.4896,7.376187316,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
30,2023-11-07 07:30:00.013,0.0,-0.4864,7.4280003053999994,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
31,2023-11-07 07:45:00.010,0.0,-0.4544,7.4013544992,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
32,2023-11-07 08:00:00.017,0.0,-0.4832,7.376187316,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
33,2023-11-07 08:15:00.007,0.0,-0.4928,7.4280003053999994,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
34,2023-11-07 08:30:00.010,0.0,-0.5024,11.26710726,0.0,9.0,2023-11-07,2023-11-07 09:00:00.007,-inf
35,2023-11-07 08:45:00.007,19.562683,-0.4912,14.552485197200001,2.436272912731935,9.0,2023-11-07,2023-11-07 09:00:00.007,-17.588296044983366
36,2023-11-07 09:00:00.007,240.580139,78.569603,12.328676994799999,25.38262880969343,9.0,2023-11-07,2023-11-07 09:00:00.007,270.02831440998233
