,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione,Corrispettivo
0,2023-11-06 09:15:00.007,0.0,-0.464,7.5286792356,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
1,2023-11-06 09:30:00.007,0.0,-0.4784,7.4783448692,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
2,2023-11-06 09:45:00.000,0.0,-0.5024,7.4280003053999994,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
3,2023-11-06 10:00:00.017,0.0,-0.4896,7.376187316,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
4,2023-11-06 10:15:00.010,0.0,-0.4992,7.376187316,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
5,2023-11-06 10:30:00.017,0.0,-0.48,7.422075616000001,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
6,2023-11-06 10:45:00.007,0.0,-0.4912,7.331767441599999,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
7,2023-11-06 11:00:00.013,0.0,-0.4912,7.376187316,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
8,2023-11-06 11:15:00.010,0.0,-0.5152,7.2769870088,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
9,2023-11-06 11:30:00.017,0.0,-0.496,7.275508385799999,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
10,2023-11-06 11:45:00.003,0.0,-0.5104,7.225163822,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
11,2023-11-06 12:00:00.010,0.0,-0.4832,7.2281312654,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
12,2023-11-06 12:15:00.003,0.0,-0.5024,7.3258427522,0.0,23.75,2023-11-06 09:10:46.685509,2023-11-07 09:00:00.007,-inf,8.1996882421875,1425,1.721934530859375,4.1249041575
