VarName;TimeString;VarValue;Validity;Time_ms
$RT_OFF$;18/09/2019 15:04;'0';2;43726628277
$RT_OFF$;18/09/2019 15:14;'0';2;43726634934
Analog_IN_DB v1.3_Durchfluss_Wert_g;28/09/2019 09:59;'0';1;43736415971
$RT_OFF$;28/09/2019 10:06;'0';2;43736420972
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 07:56;'0';0;43761331217
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 08:11;'0';0;43761341634
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 08:26;'0';0;43761352050
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 08:41;'0';0;43761362467
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 08:56;'0';0;43761372884
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 09:11;'0';0;43761383301
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 09:26;'0';0;43761393717
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 09:41;'0';0;43761404134
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 09:56;'0';0;43761414550
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 10:11;'0';0;43761424967
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 10:26;'0';0;43761435384
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 10:41;'0';0;43761445800
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 10:56;'0';0;43761456217
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 11:11;'0';0;43761466634
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 11:26;'0';0;43761477050
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 11:41;'0';0;43761487467
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 11:56;'0';0;43761497884
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 12:11;'0';0;43761508300
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 12:26;'0';0;43761518717
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 12:41;'0';0;43761529134
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 12:56;'0';0;43761539550
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 13:11;'0';0;43761549967
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 13:26;'0';0;43761560384
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 13:41;'0';0;43761570800
Analog_IN_DB v1.3_Durchfluss_Wert_g;23/10/2019 13:56;'0';0;43761581217
$RT_OFF$;23/10/2019 13:59;'0';2;43761583317
Analog_IN_DB v1.3_Durchfluss_Wert_g;25/10/2019 10:29;'0';0;43763436825
Analog_IN_DB v1.3_Durchfluss_Wert_g;25/10/2019 10:44;'0';1;43763447242
Analog_IN_DB v1.3_Durchfluss_Wert_g;25/10/2019 10:59;'0';1;43763457658
Analog_IN_DB v1.3_Durchfluss_Wert_g;25/10/2019 11:14;'0';1;43763468075
Analog_IN_DB v1.3_Durchfluss_Wert_g;25/10/2019 11:27;'0';1;43763477663
Analog_IN_DB v1.3_Durchfluss_Wert_g;25/10/2019 11:42;'0';1;43763488080
$RT_OFF$;25/10/2019 11:49;'0';2;43763493009
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 07:55;'0';1;43767330156
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 08:10;'0';1;43767340572
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 08:25;'0';1;43767350988
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 09:40;'0';1;43767403070
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 09:55;'0';1;43767413486
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 10:10;'0';1;43767423903
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 10:25;'0';1;43767434319
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 10:40;'0';1;43767444737
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 10:55;'0';1;43767455153
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 11:10;'0';1;43767465570
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 11:25;'0';1;43767475986
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 11:40;'0';1;43767486403
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 11:55;'0';1;43767496820
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 12:10;'0';1;43767507237
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 11:25;'0';1;43767475913
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 11:40;'0';1;43767486330
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 11:55;'0';1;43767496747
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 12:10;'0';1;43767507163
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 12:25;'0';1;43767517580
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 12:40;'0';1;43767527997
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 12:55;'0';1;43767538413
$RT_OFF$;29/10/2019 13:00;'0';2;43767541811
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 14:42;'0';1;43767612727
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 14:57;'0';1;43767623143
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 15:12;'0';1;43767633559
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 15:27;'0';1;43767643976
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 15:42;'0,4273756';1;43767654392
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 15:57;'0,2266835';1;43767664810
Analog_IN_DB v1.3_Durchfluss_Wert_g;29/10/2019 16:12;'0,008758417';1;43767675226
