tempi,Portate
28/12/2022 00:11:05,"26,83744"
28/12/2022 00:11:05,"138,6353"
28/12/2022 00:11:05,"0,9732487"
28/12/2022 00:11:05,"66,76559"
28/12/2022 00:26:05,"26,81201"
28/12/2022 00:26:05,"139,8615"
28/12/2022 00:26:05,"0,9762748"
28/12/2022 00:26:05,"67,74704"
28/12/2022 00:41:05,"26,81201"
28/12/2022 00:41:05,"139,2059"
28/12/2022 00:41:05,"0,9482485"
28/12/2022 00:41:05,"67,55933"
28/12/2022 00:56:05,"26,84834"
28/12/2022 00:56:05,"137,0795"
28/12/2022 00:56:05,"0,94761"
28/12/2022 00:56:05,"66,87821"
28/12/2022 01:11:05,"26,77749"
28/12/2022 01:11:05,"142,2487"
28/12/2022 01:11:05,"0,947368"
28/12/2022 01:11:05,"68,39062"
28/12/2022 01:26:05,"28,75778"
28/12/2022 01:26:05,"0"
28/12/2022 01:26:05,"1,#QNAN"
28/12/2022 01:26:05,"0"
28/12/2022 01:41:05,"28,75959"
28/12/2022 01:41:05,"0"
28/12/2022 01:41:05,"1,#QNAN"
28/12/2022 01:41:05,"0"
28/12/2022 01:56:05,"28,76141"
28/12/2022 01:56:05,"0"
28/12/2022 01:56:05,"1,#QNAN"
28/12/2022 01:56:05,"0"
28/12/2022 02:11:05,"28,75233"
28/12/2022 02:11:05,"0"
28/12/2022 02:11:05,"1,#QNAN"
28/12/2022 02:11:05,"0"
28/12/2022 02:26:05,"28,75596"
28/12/2022 02:26:05,"0"
28/12/2022 02:26:05,"1,#QNAN"
28/12/2022 02:26:05,"0"
28/12/2022 02:41:05,"28,77594"
28/12/2022 02:41:05,"0"
28/12/2022 02:41:05,"1,#QNAN"
28/12/2022 02:41:05,"0"
28/12/2022 02:56:05,"28,76323"
28/12/2022 02:56:05,"0"
28/12/2022 02:56:05,"1,#QNAN"
28/12/2022 02:56:05,"0"
28/12/2022 03:11:05,"28,76505"
28/12/2022 03:11:05,"0"
28/12/2022 03:11:05,"1,#QNAN"
28/12/2022 03:11:05,"0"
28/12/2022 03:26:05,"28,76686"
28/12/2022 03:26:05,"0"
28/12/2022 03:26:05,"1,#QNAN"
28/12/2022 03:26:05,"0"
28/12/2022 03:41:05,"28,77049"
28/12/2022 03:41:05,"0"
28/12/2022 03:41:05,"1,#QNAN"
28/12/2022 03:41:05,"0"
28/12/2022 03:56:05,"28,77049"
28/12/2022 03:56:05,"0"
28/12/2022 03:56:05,"1,#QNAN"
28/12/2022 03:56:05,"0"
28/12/2022 04:11:05,"28,76505"
28/12/2022 04:11:05,"0"
28/12/2022 04:11:05,"1,#QNAN"
28/12/2022 04:11:05,"0"
28/12/2022 04:26:05,"28,76868"
28/12/2022 04:26:05,"0"
28/12/2022 04:26:05,"1,#QNAN"
28/12/2022 04:26:05,"0"
28/12/2022 04:41:05,"28,76323"
28/12/2022 04:41:05,"0"
28/12/2022 04:41:05,"1,#QNAN"
28/12/2022 04:41:05,"0"
28/12/2022 04:56:05,"28,75596"
28/12/2022 04:56:05,"0"
28/12/2022 04:56:05,"1,#QNAN"
28/12/2022 04:56:05,"0"
28/12/2022 05:11:05,"28,76141"
28/12/2022 05:11:05,"0"
28/12/2022 05:11:05,"1,#QNAN"
28/12/2022 05:11:05,"0"
28/12/2022 05:26:05,"28,76141"
28/12/2022 05:26:05,"0"
28/12/2022 05:26:05,"1,#QNAN"
28/12/2022 05:26:05,"0"
28/12/2022 05:41:05,"28,76323"
28/12/2022 05:41:05,"0"
28/12/2022 05:41:05,"1,#QNAN"
28/12/2022 05:41:05,"0"
28/12/2022 05:56:05,"28,76686"
28/12/2022 05:56:05,"0"
28/12/2022 05:56:05,"1,#QNAN"
28/12/2022 05:56:05,"0"
28/12/2022 06:11:05,"28,76323"
28/12/2022 06:11:05,"0"
28/12/2022 06:11:05,"1,#QNAN"
28/12/2022 06:11:05,"0"
28/12/2022 06:26:05,"28,76686"
28/12/2022 06:26:05,"0"
28/12/2022 06:26:05,"1,#QNAN"
28/12/2022 06:26:05,"0"
28/12/2022 06:41:05,"28,77413"
28/12/2022 06:41:05,"0"
28/12/2022 06:41:05,"1,#QNAN"
28/12/2022 06:41:05,"0"
28/12/2022 06:56:05,"26,72844"
28/12/2022 06:56:05,"143,3312"
28/12/2022 06:56:05,"0,9713274"
28/12/2022 06:56:05,"66,45989"
28/12/2022 07:11:05,"26,7793"
28/12/2022 07:11:05,"140,0731"
28/12/2022 07:11:05,"0,9740022"
28/12/2022 07:11:05,"68,80358"
28/12/2022 07:26:05,"26,79747"
28/12/2022 07:26:05,"138,3271"
28/12/2022 07:26:05,"0,9741946"
28/12/2022 07:26:05,"67,98838"
28/12/2022 07:41:05,"26,78112"
28/12/2022 07:41:05,"145,6731"
28/12/2022 07:41:05,"0,9726511"
28/12/2022 07:41:05,"71,16335"
28/12/2022 07:56:05,"26,76841"
28/12/2022 07:56:05,"139,6558"
28/12/2022 07:56:05,"0,9731909"
28/12/2022 07:56:05,"68,68023"
28/12/2022 08:11:05,"26,77022"
28/12/2022 08:11:05,"140,0272"
28/12/2022 08:11:05,"0,9678096"
28/12/2022 08:11:05,"68,2619"
28/12/2022 08:26:05,"26,74479"
28/12/2022 08:26:05,"140,8763"
28/12/2022 08:26:05,"0,9650856"
28/12/2022 08:26:05,"68,41207"
28/12/2022 08:41:05,"26,82473"
28/12/2022 08:41:05,"139,4513"
28/12/2022 08:41:05,"0,9791585"
28/12/2022 08:41:05,"67,11955"
28/12/2022 08:56:05,"26,77567"
28/12/2022 08:56:05,"140,2767"
28/12/2022 08:56:05,"0,978467"
28/12/2022 08:56:05,"68,27263"
28/12/2022 09:11:05,"26,75569"
28/12/2022 09:11:05,"139,7486"
28/12/2022 09:11:05,"0,9716974"
28/12/2022 09:11:05,"68,35844"
28/12/2022 09:26:05,"26,79384"
28/12/2022 09:26:05,"138,9821"
28/12/2022 09:26:05,"0,9577763"
28/12/2022 09:26:05,"67,51106"
28/12/2022 09:41:05,"26,76659"
28/12/2022 09:41:05,"140,0734"
28/12/2022 09:41:05,"0,9595107"
28/12/2022 09:41:05,"68,44425"
28/12/2022 09:56:05,"26,82836"
28/12/2022 09:56:05,"137,7094"
28/12/2022 09:56:05,"0,9592425"
28/12/2022 09:56:05,"66,79777"
28/12/2022 10:11:05,"26,84108"
28/12/2022 10:11:05,"138,5053"
28/12/2022 10:11:05,"0,9577356"
28/12/2022 10:11:05,"66,36336"
28/12/2022 10:26:05,"26,83926"
28/12/2022 10:26:05,"136,5762"
28/12/2022 10:26:05,"0,9549488"
28/12/2022 10:26:05,"66,32045"
28/12/2022 10:41:05,"26,81201"
28/12/2022 10:41:05,"138,8409"
28/12/2022 10:41:05,"0,9552435"
28/12/2022 10:41:05,"67,45744"
28/12/2022 10:56:05,"28,43076"
28/12/2022 10:56:05,"13,63354"
28/12/2022 10:56:05,"0,2662775"
28/12/2022 10:56:05,"10,18458"
